- [camera.c]
  set_camera_shake_from_hit                          = Vieweffect
  clamp_positions_and_find_yaw                       = Crou_XZbarrier
  calc_avoid_yaw                                     = Crou_Forcerot_s
  is_surf_within_bounding_box                        = Crou_CalcPlaneArea
  is_behind_surface                                  = [s] CCP_check
  is_range_behind_surface                            = Crou_CheckPlaneFace
  is_mario_behind_surface                            = Crou_CheckMarioFacePlane
  scale_along_line                                   = Crou_MidPnt
  is_pos_in_bounds                                   = Crou_BoxCollide
  calculate_pitch                                    = Crou_CalcAnglex
  calculate_yaw                                      = Crou_CalcAngley
  calculate_angles                                   = Crou_CalcAngle
  calc_abs_dist                                      = Crou_CalcDist
  calc_hor_dist                                      = Crou_CalcDistXZ
  rotate_in_xz                                       = Crou_YRotatePos
  rotate_in_yz                                       = Crou_XRotatePos
  set_camera_pitch_shake                             = Crou_Set_ViewshakeX
  set_camera_yaw_shake                               = Crou_Set_ViewshakeY
  set_camera_roll_shake                              = Crou_Set_ViewshakeZ
  set_pitch_shake_from_point                         = Crou_Set_ViewshakingX
  set_yaw_shake_from_point                           = Crou_Set_ViewshakingY
  increment_shake_offset                             = [s] CVs_addfreq
  shake_camera_pitch                                 = [s] Crou_ViewshakeX
  shake_camera_yaw                                   = [s] Crou_ViewshakeY
  shake_camera_roll                                  = [s] Crou_ViewshakeZ
  offset_yaw_outward_radial                          = Crou_camAngley_INSIDE
  cutscene_intro_peach_play_message_music            = Crou_BGM_Peach
  cutscene_intro_peach_play_lakitu_flying_music      = Crou_BGM_Openning
  play_camera_buzz_if_cdown                          = Crou_SE_ViewDdisable
  play_camera_buzz_if_cbutton                        = Crou_SE_ViewUDLRdisable
  play_camera_buzz_if_c_sideways                     = Crou_SE_ViewLRdisable
  play_sound_cbutton_up                              = Crou_SE_ZOOM_IN
  play_sound_cbutton_down                            = Crou_SE_ZOOM_OUT
  play_sound_cbutton_side                            = Crou_SE_CAMERAMOVE
  play_sound_button_change_blocked                   = Crou_SE_BUZZER
  play_sound_rbutton_changed                         = Crou_SE_SHUTTER
  play_sound_if_cam_switched_to_lakitu_or_mario      = Crou_SE_SPECIALCAMERA
  radial_camera_input                                = Crou_ViewLong
  trigger_cutscene_dialog                            = ViewingCam
  handle_c_button_movement                           = Crou_ViewMode
  clear_cutscene_vars                                = [s] Crou_InitcamDemo
  start_cutscene                                     = Crou_SetDemoMode
  determine_dance_cutscene                           = [s] CDM_WinDemo
  open_door_cutscene                                 = [s] CDM_DoorDemo
  get_cutscene_from_mario_status                     = Crou_DemoMode
  warp_camera                                        = Crou_camBlockofs
  approach_camera_height                             = Crou_traceCamHeight
  stub_camera_4                                      = Crou_test_campos
  set_focus_rel_mario                                = [s] Crou_lookat_player
  [s] unused_set_pos_rel_mario                       = [s] Crou_roffs2player
  offset_rotated                                     = Crou_roffs2pos
  offset_rotated_coords                              = Crou_roffs2posvalue
  determine_pushing_or_pulling_door                  = [s] Crou_opendoor_rotyofs
  next_lakitu_state                                  = Crou_Inbet
  [s] stop_transitional_movement                     = [s] Crou_KillInbet
  set_camera_mode_fixed                              = [s] Crou_InitFixCamera
  set_camera_mode_8_directions                       = [s] Crou_InitParallelCamera
  set_camera_mode_boss_fight                         = [s] Crou_InitKuppaCamera
  set_camera_mode_close_cam                          = [s] Crou_InitDungeonCamera
  set_camera_mode_radial                             = [s] Crou_InitFieldCamera
  parallel_tracking_init                             = Crou_InitRailCamera
  set_fixed_cam_axis_sa_lobby                        = Crou_InitFixCampos
  check_blocking_area_processing                     = [s] Crou_KillWizard
  cam_rr_exit_building_side                          = [s] ccmMap15_HeikouC
  cam_rr_exit_building_top                           = [s] ccmMap15_HeikouS
  cam_rr_enter_building_window                       = [s] ccmMap15_FixA
  cam_rr_enter_building                              = [s] ccmMap15_FixB
  cam_rr_enter_building_side                         = [s] ccmMap15_FixC
  cam_cotmc_exit_waterfall                           = [s] ccmMap28_lock
  cam_sl_snowman_head_8dir                           = [s] ccmMap10_Parallel
  cam_sl_free_roam                                   = [s] ccmMap10_Dungeon_o
  move_camera_through_floor_while_descending         = CC_udlift
  cam_hmc_enter_maze                                 = [s] ccmMap7_gasfall
  cam_hmc_elevator_black_hole                        = [s] ccmMap7_udliftA
  cam_hmc_elevator_maze_emergency_exit               = [s] ccmMap7_udliftB
  cam_hmc_elevator_lake                              = [s] ccmMap7_udliftC
  cam_hmc_elevator_maze                              = [s] ccmMap7_udliftD
  cam_ssl_enter_pyramid_top                          = [s] ccmMap8_Pyltop
  cam_ssl_pyramid_center                             = [s] ccmMap8_PylamidDungeon
  cam_ssl_boss_room                                  = [s] ccmMap8_PylamidInside
  cam_thi_move_cam_through_tunnel                    = [s] ccmMap13_w_field
  cam_thi_look_through_tunnel                        = [s] ccmMap13_w_dungeon
  cam_bob_tower                                      = [s] ccmMap9_Field
  cam_bob_default_free_roam                          = [s] ccmMap9_Dungeon
  cam_castle_hmc_start_pool_cutscene                 = [s] ccmMap6_MetalPool
  cam_castle_lobby_entrance                          = [s] ccmMap6_genkan
  cam_castle_look_upstairs                           = [s] ccmMap6_kaidan2
  cam_castle_basement_look_downstairs                = [s] ccmMap6_kaidan1
  cam_castle_enter_lobby                             = [s] ccmMap6_Main
  cam_castle_enter_spiral_stairs                     = [s] ccmMap6_Rasen
  [s] cam_castle_leave_spiral_stairs                 = [s] ccmMap6_DungeonFromSpiral
  cam_castle_close_mode                              = [s] ccmMap6_Dungeon
  cam_castle_leave_lobby_sliding_door                = [s] ccmMap6_Kuppa
  cam_castle_enter_lobby_sliding_door                = [s] ccmMap6_Kuppa_Main
  cam_bbh_room_6                                     = [s] ccmMap4_library
  cam_bbh_fall_off_roof                              = [s] ccmMap4_dungeon
  cam_bbh_fall_into_pool                             = [s] ccmMap4_dungeon_fall
  cam_bbh_room_1                                     = [s] ccmMap4_iriguchi
  cam_bbh_leave_front_door                           = [s] ccmMap4_iriguchi_D
  cam_bbh_room_2_lower                               = [s] ccmMap4_Migi
  cam_bbh_room_4                                     = [s] ccmMap4_Kuzure
  cam_bbh_room_8                                     = [s] ccmMap4_Amiten
  cam_bbh_room_5_library                             = [s] ccmMap4_Table_A
  cam_bbh_room_5_library_to_hidden_transition        = [s] ccmMap4_Table_A_inbet
  cam_bbh_room_5_hidden_to_library_transition        = [s] ccmMap4_Table_B_inbet
  cam_bbh_room_5_hidden                              = [s] ccmMap4_Table_B_D
  cam_bbh_room_3                                     = [s] ccmMap4_Fukinuke
  cam_bbh_room_7_mr_i                                = [s] ccmMap4_Ofuro_A
  cam_bbh_room_7_mr_i_to_coffins_transition          = [s] ccmMap4_Ofuro_A_inbet
  cam_bbh_room_7_coffins_to_mr_i_transition          = [s] ccmMap4_Ofuro_B_inbet
  cam_bbh_elevator_room_lower                        = [s] ccmMap4_chika_D
  cam_bbh_room_0_back_entrance                       = [s] ccmMap4_chika_Dun
  cam_bbh_elevator                                   = [s] ccmMap4_ele_Dun
  cam_bbh_room_12_upper                              = [s] ccmMap4_chika
  cam_bbh_enter_front_door                           = [s] ccmMap4_iriguchiout
  cam_bbh_room_2_library                             = [s] ccmMap4_right01_A
  cam_bbh_room_2_library_to_trapdoor_transition      = [s] ccmMap4_right01_A_inbet
  cam_bbh_room_2_trapdoor                            = [s] ccmMap4_right01_B
  cam_bbh_room_2_trapdoor_transition                 = [s] ccmMap4_right01_B_inbet
  cam_bbh_room_9_attic                               = [s] ccmMap4_teresa
  cam_bbh_room_9_attic_transition                    = [s] ccmMap4_teresa_inbet
  cam_bbh_room_9_mr_i_transition                     = [s] ccmMap4_teresa_star_inbet
  cam_bbh_room_13_balcony                            = [s] ccmMap4_battle
  cam_bbh_room_0                                     = [s] ccmMap4_chika_fix_D
  cam_ccm_enter_slide_shortcut                       = [s] ccmMap5_TunnelEntrance
  cam_ccm_leave_slide_shortcut                       = [s] ccmMap5_TunnelExit
  surface_type_modes                                 = [s] CCW_D
  set_mode_if_not_set_by_surface                     = [s] CCW_Dungeon
  surface_type_modes_thi                             = CCW_Parallel
  camera_course_processing                           = Crou_CameraWizard
  resolve_geometry_collisions                        = Crou_WaterWallCheck
  rotate_camera_around_walls                         = Crou_CalcWallRoty
  find_mario_floor_and_ceil                          = Crou_marioBG

- [camdemo.c]
  start_object_cutscene                              = [s] cD_start
  start_object_cutscene_without_focus                = cameraDemo
  unused_dialog_cutscene_response                    = cameraDemoMsg
  cutscene_object_with_dialog                        = cameraDemoStratMsgNum
  cutscene_object_without_dialog                     = cameraDemoStratMsg
  cutscene_object                                    = cameraDemoStrat
  update_camera_yaw                                  = Drou_pan
  cutscene_reset_spline                              = Drou_InitSpline
  stop_cutscene_and_retrieve_stored_info             = Drou_ForceFinishDemo
  cap_switch_save                                    = [s] Drou_SW_BACKUP
  init_spline_point                                  = CSD_setspline
  copy_spline_segment                                = [s] Drou_CreditSpData
  cutscene_common_set_dialog_state                   = [s] Drou_MarioWait
  [s] unused_cutscene_mario_dialog_looking_down      = [s] Drou_MarioWait_LOOKDOWN
  [s] cutscene_mario_dialog                          = [s] Drou_MarioWait_LOOKFRONT
  [s] unused_cutscene_mario_dialog_looking_up        = [s] Drou_MarioWait_LOOKUP
  cutscene_intro_peach_start_letter_music            = [s] Drou_DMM_BGM_Peach
  cutscene_intro_peach_start_flying_music            = [s] Drou_DMM_BGM_Openning
  reset_pan_distance                                 = [s] Drou_clearparam
  player2_rotate_cam                                 = [s] Drou_3Dstick
  store_info_cannon                                  = [s] Drou_demobak
  retrieve_info_cannon                               = [s] Drou_demobak_ret
  store_info_star                                    = [s] Drou_demobak_clrofs
  retrieve_info_star                                 = [s] Drou_demobak_ret_clrofs
  [s] unused_vec3s_to_vec3f                          = [s] Drou_CopySVector2FVector
  [s] unused_vec3f_to_vec3s                          = [s] Drou_CopyFVector2SVector
  pan_camera                                         = [s] Drou_offset_lookat
  cutscene_shake_explosion                           = [s] Drou_ViewshakeSMALL
  [s] unused_start_bowser_bounce_shake               = [s] Drou_ViewshakeMIDDLE
  rotate_and_move_vec3f                              = [s] Drou_rotateposRpos
  set_flag_post_door                                 = [s] Drou_FinishDoor
  cutscene_soften_music                              = [s] Drou_MuteON
  cutscene_unsoften_music                            = [s] Drou_MuteOFF
  [s] stub_camera_5                                  = [s] Viewspline
  cutscene_unused_start                              = [s] DemoViewtest_init
  cutscene_unused_loop                               = [s] DemoViewtest_0
  cutscene_ending_mario_fall_start                   = [s] Drou_EBF_init
  cutscene_ending_mario_fall_focus_mario             = [s] Drou_EBF_pos
  cutscene_ending_mario_fall                         = [s] DemoEndB_Fall
  cutscene_ending_mario_land_closeup                 = [s] DemoEndB_Closeup
  cutscene_ending_reset_spline                       = [s] Drou_EBP_init
  cutscene_ending_fly_up_to_window                   = [s] Drou_EBP_pos
  cutscene_ending_stars_free_peach                   = [s] DemoEndB_Peach
  cutscene_ending_mario_land                         = [s] DemoEndB_Land
  cutscene_ending_peach_appear_closeup               = [s] Drou_EBR_init
  cutscene_ending_peach_appears                      = [s] DemoEndB_Returns
  cutscene_ending_peach_descends_start               = [s] Drou_EBT_init
  cutscene_ending_follow_peach_descent               = [s] Drou_EBT_A
  cutscene_ending_peach_descent_lower_focus          = [s] Drou_EBT_Pofs
  cutscene_ending_peach_descent_back_to_mario        = [s] Drou_EBT_R
  cutscene_ending_peach_descends                     = [s] DemoEndB_Touchdown
  cutscene_ending_mario_to_peach                     = [s] DemoEndB_Goto
  cutscene_ending_look_up_at_castle                  = [s] Drou_EBW_look
  cutscene_ending_peach_wakeup                       = [s] DemoEndB_Wakeup
  cutscene_ending_dialog                             = [s] DemoEndB_Orei
  cutscene_ending_kiss_closeup                       = [s] Drou_EBK_init
  cutscene_ending_kiss_here_we_go                    = [s] Drou_EBK_pos2
  cutscene_ending_kiss                               = [s] DemoEndB_Kiss
  cutscene_ending_look_at_sky                        = [s] Drou_EBH_look
  cutscene_ending_zoom_fov                           = [s] Drou_EBH_zoom
  cutscene_ending_cake_for_mario                     = [s] DemoEndB_Happyend
  cutscene_ending_stop                               = [s] DemoEndB_Finish
  cutscene_grand_star_start                          = [s] Drou_EAT_init
  cutscene_grand_star_front_of_mario                 = [s] Drou_EAT_turn
  cutscene_grand_star_mario_jump                     = [s] Drou_EAT_follow_init
  cutscene_grand_star_accel_cvar2                    = [s] Drou_EAT_follow_accel
  cutscene_grand_star_approach_mario                 = [s] Drou_EAT_follow_deccel
  cutscene_grand_star_move_cvar2                     = [s] Drou_EAT_follow
  cutscene_grand_star_focus_mario                    = [s] Drou_EAT_lookA
  cutscene_grand_star                                = [s] DemoEndA_Turn
  cutscene_grand_star_fly_start                      = [s] Drou_EAC_init
  cutscene_grand_star_fly_move_to_mario              = [s] Drou_EAC_close
  cutscene_grand_star_fly_mario_offscreen            = [s] Drou_EAC_leave
  cutscene_grand_star_fly_app_cvars                  = [s] Drou_EAC_pros
  cutscene_grand_star_fly                            = [s] DemoEndA_Close
  focus_in_front_of_mario                            = [s] dlocal_DWDA_lookat
  cutscene_dance_move_to_mario                       = [s] Drou_DWDA_pos
  cutscene_dance_rotate                              = [s] Drou_DWDA_rotate
  cutscene_dance_rotate_move_back                    = [s] Drou_DWDA_close
  cutscene_dance_rotate_move_towards_mario           = [s] Drou_DWDA_leave
  [s] cutscene_dance_unused                          = [s] Drou_DWDA_zoom
  cutscene_dance_default_focus_mario                 = [s] Drou_DWDA_lookat
  cutscene_dance_rotate_focus_mario                  = [s] Drou_DWDA_lookatleave
  cutscene_dance_shake_fov                           = [s] Drou_DWDA_ZS
  cutscene_dance_default_rotate                      = [s] DemoWinDemoA_0
  star_dance_bound_yaw                               = [s] DCi_adjust
  cutscene_dance_closeup_start                       = [s] Drou_CU_init
  cutscene_dance_closeup_focus_mario                 = [s] Drou_CU_lookat
  cutscene_dance_closeup_fly_above                   = [s] Drou_CU_pos
  cutscene_dance_closeup_fly_closer                  = [s] Drou_CU_pos2
  cutscene_dance_closeup_zoom                        = [s] Drou_CU_Zoom
  cutscene_dance_closeup_shake_fov                   = [s] Drou_CU_ZS
  cutscene_dance_closeup                             = [s] DemoWinDemoCloseUp_0
  cutscene_dance_fly_away_start                      = [s] Drou_OL_init
  cutscene_dance_fly_away_approach_mario             = [s] Drou_OL_pos
  cutscene_dance_fly_away_focus_mario                = [s] Drou_OL_lookat
  cutscene_pan_cvar9                                 = [s] Drou_OL_lookofs
  cutscene_dance_fly_rotate_around_mario             = [s] Drou_OL_leave
  cutscene_dance_fly_away_rotate_while_flying        = [s] Drou_OL_rotate
  cutscene_dance_fly_away_shake_fov                  = [s] Drou_OL_ZS
  cutscene_dance_fly_away                            = [s] DemoWinDemoOverLook_0
  cutscene_key_dance_jump_cvar                       = [s] Drou_SR_cut
  cutscene_key_dance_jump_closeup                    = [s] Drou_SR_cut0
  cutscene_key_dance_jump_lower_left                 = [s] Drou_SR_cut1
  cutscene_key_dance_jump_above                      = [s] Drou_SR_cut2
  cutscene_key_dance_jump_last                       = [s] Drou_SR_cut3
  cutscene_key_dance_shake_fov                       = [s] Drou_SR_ZS
  cutscene_key_dance_handheld_shake                  = [s] Drou_SR_SW
  cutscene_key_dance_focus_mario                     = [s] Drou_SR_lookat
  cutscene_key_dance                                 = [s] DemoWinDemoStorobo_0
  cutscene_bowser_area_shake_fov                     = [s] Drou_DK_zoom
  cutscene_bowser_area_start_bowser_walking          = [s] Drou_DK_walk
  cutscene_bowser_arena_set_pos                      = [s] Drou_DK_kuppapos
  cutscene_bowser_arena_focus_sine                   = [s] Drou_DK_kuppalooky
  cutscene_bowser_arena_set_focus                    = [s] Drou_DK_kuppalook
  cutscene_bowser_arena_adjust_offsets               = [s] Drou_DK_kuppalookz_B
  cutscene_bowser_arena_pan_left                     = [s] Drou_DK_kuppalookz_A
  cutscene_bowser_arena_mario_dialog                 = [s] Drou_DK_MarioWait
  cutscene_stop_dialog                               = [s] Drou_DK_MarioStart
  cutscene_bowser_arena_start                        = [s] Drou_DK_init
  bowser_fight_intro_dialog                          = [s] Drou_DK_msg
  cutscene_bowser_arena_dialog                       = [s] DemoKuppa_msg
  cutscene_bowser_arena_end                          = [s] DemoKuppa_Finish
  cutscene_bowser_arena                              = [s] DemoKuppa_1
  cutscene_star_spawn_store_info                     = [s] Drou_LO_init
  cutscene_star_spawn_focus_star                     = [s] Drou_LO_look
  cutscene_star_spawn_update_boss_fight              = [s] Drou_LO_Kuppa_owari
  cutscene_star_spawn_fly_back                       = [s] Drou_LO_owari
  cutscene_star_spawn                                = [s] DemoLookobj_0
  cutscene_star_spawn_back                           = [s] DemoLookobj_Owari
  cutscene_star_spawn_end                            = [s] DemoLookobj_Finish
  cutscene_exit_waterfall_warp                       = [s] Drou_IF_init
  cutscene_exit_to_castle_grounds_focus_mario        = [s] Drou_IF_look
  cutscene_exit_waterfall                            = [s] DemoInFall_0
  cutscene_exit_to_castle_grounds_end                = [s] DemoInFall_Finish
  cutscene_exit_fall_to_castle_grounds_warp          = [s] Drou_BS_init
  cutscene_exit_fall_to_castle_grounds               = [s] DemoBlueSky_0
  cutscene_red_coin_star_start                       = [s] Drou_S8_init
  cutscene_red_coin_star_focus_xz                    = [s] Drou_S8_look
  cutscene_red_coin_star_focus_y                     = [s] Drou_S8_lookyA
  cutscene_red_coin_star_look_up_at_star             = [s] Drou_S8_lookyB
  cutscene_red_coin_star_warp                        = [s] Drou_S8_posA
  cutscene_red_coin_star_set_fov                     = [s] Drou_S8_zoom
  cutscene_red_coin_star                             = [s] DemoStar8_0
  cutscene_red_coin_star_end                         = [s] DemoStar8_Finish
  cutscene_goto_cvar_pos                             = [s] DDCD_pos
  cutscene_prepare_cannon_start                      = [s] Drou_DCD_init
  cutscene_prepare_cannon_fly_to_cannon              = [s] Drou_DCD_pos
  cannon_approach_prev                               = [s] DDCD_000
  cutscene_prepare_cannon_fly_back                   = [s] Drou_DCD_return
  cutscene_prepare_cannon                            = [s] DemoCannonDoor_0
  cutscene_prepare_cannon_end                        = [s] DemoCannonDoor_Finish
  water_death_move_to_mario_side                     = [s] Drou_GD_rotate
  death_goto_mario                                   = [s] GD_pos
  cutscene_death_standing_start                      = [s] Drou_GD_init
  cutscene_death_standing_goto_mario                 = [s] Drou_GD_pos
  cutscene_death_standing                            = [s] DemoGiddyDown_0
  cutscene_death_stomach_start                       = [s] Drou_FD_init
  cutscene_death_stomach_goto_mario                  = [s] Drou_FD_pos
  [s] unused_water_death_move_to_side_of_mario       = [s] Drou_FD_rot
  cutscene_death_stomach                             = [s] DemoForeDownE_0
  cutscene_bbh_death_start                           = [s] Drou_BD_init
  cutscene_bbh_death_goto_mario                      = [s] Drou_BD_pos
  cutscene_bbh_death                                 = [s] DemoBackDownE_0
  cutscene_quicksand_death_start                     = [s] Drou_SD_init
  cutscene_quicksand_death_goto_mario                = [s] Drou_SD_pos
  cutscene_quicksand_death                           = [s] DemoSandDown_0
  cutscene_suffocation_fly_away                      = [s] Drou_GasD_lookdown
  cutscene_suffocation_stay_above_gas                = [s] Drou_GasD_pos
  cutscene_suffocation_rotate                        = [s] Drou_GasD_rot
  cutscene_suffocation                               = [s] DemoGasDown_0
  cutscene_enter_pool_start                          = [s] Drou_MP_init
  cutscene_enter_pool_loop                           = [s] Drou_MP_pos
  cutscene_enter_pool                                = [s] DemoMetalPool_0
  cutscene_pyramid_top_explode_start                 = [s] Drou_PE_init
  cutscene_pyramid_top_explode_zoom_in               = [s] Drou_PE_Zoomup
  cutscene_pyramid_top_explode_focus                 = [s] Drou_PE_lookA
  cutscene_pyramid_top_explode_warp                  = [s] Drou_PE_posB
  cutscene_pyramid_top_explode_closeup               = [s] Drou_PE_posBdown
  cutscene_pyramid_top_explode_cam_shake             = [s] Drou_PE_viewshake
  cutscene_pyramid_top_explode_warp_back             = [s] Drou_PE_posC
  cutscene_pyramid_top_explode                       = [s] DemoPylexp_0
  cutscene_pyramid_top_explode_end                   = [s] DemoPylexp_Finish
  cutscene_enter_pyramid_top_start                   = [s] Drou_PT_init
  cutscene_enter_pyramid_top                         = [s] DemoPyltop_0
  [s] unused_cutscene_goto_cvar                      = [s] TK_pos
  cutscene_dialog_start                              = [s] Drou_TK_init
  cutscene_dialog_move_mario_shoulder                = [s] Drou_TK_pos
  cutscene_dialog_create_dialog_box                  = [s] Drou_TK_msg
  cutscene_dialog                                    = [s] DemoTalk_0
  cutscene_dialog_set_flag                           = [s] DemoTalk_wait
  cutscene_dialog_end                                = [s] DemoTalk_Finish
  cutscene_read_message_start                        = [s] Drou_LB_init
  [s] unused_cam_to_mario                            = [s] Drou_LB_pos
  cutscene_read_message                              = [s] DemoLookBoard_0
  cutscene_read_message_set_flag                     = [s] DemoLookBoard_wait
  cutscene_read_message_end                          = [s] DemoLookBoard_Finish
  cutscene_exit_succ_start                           = [s] Drou_BK_init
  cutscene_non_painting_set_cam_pos                  = [s] Drou_BK_pos
  cutscene_non_painting_set_cam_focus                = [s] Drou_BK_look
  cutscene_exit_bowser_succ_focus_left               = [s] Drou_BK_pan
  cutscene_exit_bowser_key_toss_shake                = [s] Drou_BK_lookup
  cutscene_exit_succ_shake_landing                   = [s] Drou_BK_Viewshake
  cutscene_exit_bowser_succ                          = [s] DemoBeatKuppa_1
  cutscene_non_painting_end                          = [s] DemoBeatKuppa_Finish
  cutscene_exit_non_painting_succ_override_cvar      = [s] Drou_PO_init
  cutscene_exit_non_painting_succ                    = [s] DemoPushout_1
  cutscene_non_painting_death_start                  = [s] Drou_LK_init
  cutscene_exit_bowser_death                         = [s] DemoLosedKuppa_1
  cutscene_non_painting_death_override_offset        = [s] Drou_PD_init
  cutscene_non_painting_death                        = [s] DemoPushdown_1
  cutscene_cap_switch_press_start                    = [s] Drou_POH_init
  cutscene_cap_switch_press_rotate_around_mario      = [s] Drou_POH_rotate
  cutscene_cap_switch_press_lower_cam                = [s] Drou_POH_down
  cutscene_cap_switch_press_approach_mario           = [s] Drou_POH_close
  cutscene_cap_switch_press_pan_left                 = [s] Drou_POH_lookat
  cutscene_cap_switch_press_create_dialog            = [s] Drou_POH_msg
  [s] unused_cap_switch_retrieve_info                = [s] Drou_POH_rtn
  cutscene_cap_switch_press                          = [s] DemoPutonhat_1
  cutscene_unlock_key_door_start                     = [s] Drou_OKD_1st
  cutscene_unlock_key_door_approach_mario            = [s] Drou_OKD_pos
  cutscene_unlock_key_door_focus_lock                = [s] Drou_OKD_Lup
  cutscene_unlock_key_door_stub                      = [s] Drou_OKD_Z
  cutscene_unlock_key_door_fly_back                  = [s] Drou_OKD_pos2
  cutscene_unlock_key_door_fov_shake                 = [s] Drou_OKD_beeen
  cutscene_unlock_key_door                           = [s] DemoOpenKDoor_1
  intro_peach_move_camera_start_to_pipe              = [s] DMM_SP
  peach_letter_text                                  = [s] Drou_DMM_msg
