  bhvStarDoor                                        = e_autodoor
  ? (0x814)                                          = [s] enemystar_common
  bhvMrIBlueCoin                                     = e_enemyset_bluecoin
  bhvCoinInsideBoo                                   = e_obake_coin
  bhvCoinFormationSpawn                              = e_manycoin_obj
  bhvCoinFormation                                   = e_manycoin
  bhvOneCoin                                         = e_coin_ground
  bhvYellowCoin                                      = e_coin
  ? (0x920)                                          = [s] el_coin_common
  bhvTemporaryYellowCoin                             = e_coin_timeend
  bhvThreeCoinsSpawn                                 = e_player_coin_3
  bhvTenCoinsSpawn                                   = e_player_coin_10
  bhvSingleCoinGetsSpawned                           = e_player_coin
  bhvCoinSparkles                                    = e_coinspark_object
  bhvGoldenCoinSparkles                              = e_coinspark
  bhvWallTinyStarParticle                            = e_wallcrash_obj
  bhvVertStarParticleSpawner                         = e_wallcrash
  bhvPoundTinyStarParticle                           = e_hoshi
  bhvHorStarParticleSpawner                          = e_crashanime
  bhvPunchTinyTriangle                               = e_punch_obj
  bhvTriangleParticleSpawner                         = e_punchanime
  bhvDoorWarp                                        = e_tripdoor
  bhvDoor                                            = e_door
  ? (0xb14)                                          = [s] path_door_common
  bhvGrindel                                         = e_sabaku_dosun
  bhvThwomp2                                         = e_dosun
  bhvThwomp                                          = e_dosun_power
  bhvTumblingBridgePlatform                          = e_downbar_object
  bhvWfTumblingBridge                                = e_downbridge
  bhvBbhTumblingBridge                               = e_d_teretrap
  bhvLllTumblingBridge                               = e_mapobj_motos_07
  bhvFlame                                           = e_fire_animation
  bhvAnotherElavator                                 = e_udlift_kioku
  bhvRrElevatorPlatform                              = e_downlift
  bhvHmcElevatorPlatform                             = e_udlift_s
  bhvWaterMist                                       = e_effectbreath_obj
  bhvBreathParticleSpawner                           = e_effectbreath
  bhvBreakBoxTriangle                                = e_boxburn
  bhvWaterMist2                                      = e_fall_effect
  bhvUnused0DFC                                      = e_fall_ripple
  bhvMistCircParticleSpawner                         = e_effectmowan
  bhvDirtParticleSpawner                             = e_effectsand
  bhvSnowParticleSpawner                             = e_effectsnow
  bhvWind                                            = e_effectwind
  bhvEndToad                                         = e_kinop_test
  bhvEndPeach                                        = e_peach_test
  bhvUnusedParticleSpawn                             = e_enemyfire
  bhvUkiki                                           = e_event_monky
  bhvUkikiCageChild                                  = e_monky_check
  bhvUkikiCageStar                                   = e_donky_star
  bhvUkikiCage                                       = e_donky_kago
  bhvBitfsSinkingPlatforms                           = e_ukishima
  bhvBitfsSinkingCagePlatform                        = e_nobori_ami
  bhvDddMovingPole                                   = e_nobori_bou
  bhvBitfsTiltingInvertedPyramid                     = e_ext3_guragura
  bhvSquishablePlatform                              = e_ext3_nobiru
  bhvCutOutObject                                    = e_sidefire
  bhvBetaMovingFlamesSpawn                           = ? (0x10a8)
  bhvBetaMovingFlames                                = e_sidefireball
  bhvRrRotatingBridgePlatform                        = e_fireskybar
  bhvFlamethrower                                    = e_firebigbar
  bhvFlamethrowerFlame                               = e_firebigbar_parts
  bhvBouncingFireball                                = e_firebubble_1
  bhvBouncingFireballFlame                           = e_firebubble_parts
  bhvBowserShockWave                                 = e_firering
  bhvFireParticleSpawner                             = e_firesmoke
  bhvBlackSmokeMario                                 = e_firesmoke_smoke
  bhvBlackSmokeBowser                                = e_enemy_firesmoke_parts
  bhvBlackSmokeUpward                                = e_enemy_firesmoke
  bhvBetaFishSplashSpawner                           = e_funsui
  bhvSpindrift                                       = e_furafura
  bhvTowerPlatformGroup                              = e_goalbar_main
  bhvWfSlidingTowerPlatform                          = e_goalbar_move
  bhvWfElevatorTowerPlatform                         = e_goalbar_updown
  bhvWfSolidTowerPlatform                            = e_goalbar_stop
  bhvLeafParticleSpawner                             = e_effectgrass
  bhvTreeSnow                                        = e_effectsnow_parts
  bhvTreeLeaf                                        = e_effectgrass_parts
  bhvAnotherTiltingPlatform                          = e_guragura
  bhvSquarishPathMoving                              = e_ukishima_s17
  bhvPiranhaPlantBubble                              = e_hanapoo
  bhvPiranhaPlantWakingBubbles                       = e_hanapoo_gomi
  bhvFloorSwitchAnimatesObject                       = e_onoff_switch
  bhvFloorSwitchGrills                               = e_switchdoor_switch
  bhvFloorSwitchHardcodedModel                       = e_hanswitch
  ? (0x1488)                                         = [s] el_hanswitch_common
  bhvFloorSwitchHiddenObjects                        = e_timeblock_switch
  bhvHiddenObject                                    = e_timeblock
  bhvBreakableBox                                    = e_osublock
  ? (0x14e4)                                         = [s] el_hibiblock_common
  ? (0x1514)                                         = e_carryhit_block
  bhvPushableMetalBox                                = e_pushblock
  bhvHeaveHo                                         = e_robo
  bhvHeaveHoThrowMario                               = e_robo_hand
  bhvCcmTouchedStarSpawn                             = e_house_star
  bhvUnusedPoundablePlatform                         = e_ice
  bhvBetaTrampolineTop                               = e_jumpbg
  bhvBetaTrampolineSpring                            = e_bane_naka
  bhvJumpingBox                                      = e_jumpblock
  bhvBooCage                                         = e_teresa_kago
  bhvStub                                            = e_qcheck
  bhvIgloo                                           = e_kamakura
  bhvBowserKey                                       = e_kopa_key
  bhvGrandStar                                       = e_kopa_laststar
  bhvBetaBooKey                                      = e_teresa_key
  bhvAlphaBooKey                                     = e_key
  bhvBulletBill                                      = e_killer
  bhvWhitePuffSmoke                                  = e_killer_smorke
  bhvUnused1820                                      = e_kojima
  bhvBowserTailAnchor                                = e_kopa_fusen
  bhvBowser                                          = e_kopa
  bhvBowserBodyAnchor                                = e_kopa_damagecube
  bhvBowserFlameSpawn                                = e_kopafire
  bhvTiltingBowserLavaPlatform                       = e_kopa2_moveBG
  bhvFallingBowserPlatform                           = e_kopa3_moveBG
  bhvBlueBowserFlame                                 = e_kopafire_super
  bhvFlameFloatingLanding                            = e_furafura_fire
  bhvBlueFlamesGroup                                 = e_boundfire
  bhvFlameBouncing                                   = e_boundfire_parts
  bhvFlameMovingForwardGrowing                       = e_fireball
  bhvFlameBowser                                     = e_ground_fire
  bhvFlameLargeBurningOut                            = e_stop_fire
  bhvBlueFish                                        = e_loopfish_obj
  bhvTankFishGroup                                   = e_loopfish
  bhvCheckerboardElevatorGroup                       = e_doublelift
  bhvCheckerboardPlatformSub                         = e_looplift
  bhvBowserKeyUnlockDoor                             = e_doorkey_demo
  bhvBowserKeyCourseExit                             = e_takekey_demo
  bhvInvisibleObjectsUnderBridge                     = e_maincastle_waterswitch
  bhvWaterLevelPillar                                = e_sel1b_erase_water
  bhvDddWarp                                         = e_sel1b_waterwall_switch
  bhvMoatGrills                                      = e_maincastle_net
  bhvClockMinuteHand                                 = e_clock_long
  bhvClockHourHand                                   = e_clock_short
  ? (0x1c94)                                         = [s] clock_common
  bhvMacroUkiki                                      = e_monky
  ? (0x1cb4)                                         = e_monky_common
  bhvStub1D0C                                        = e_motosman
  bhvLllRotatingHexagonalPlatform                    = e_rotate_record
  bhvLllSinkingRockBlock                             = e_sizumu_yuka
  bhvStub1D70                                        = e_mapobj_motos_medama
  bhvLllMovingOctagonalMeshPlatform                  = e_mapobj_motos_01
  bhvSnowBall                                        = e_mapobj_motos_04
  bhvLllRotatingBlockWithFireBars                    = e_mapobj_motos_05
  bhvLllRotatingHexFlame                             = e_mapobj_motos_05_fire
  bhvLllWoodPiece                                    = e_mapobj_motos_06_maruta
  bhvLllFloatingWoodBridge                           = e_mapobj_motos_06
  bhvVolcanoFlames                                   = e_volcano_fire
  bhvLllRotatingHexagonalRing                        = e_mapobj_motos_08
  bhvLllSinkingRectangularPlatform                   = e_mapobj_motos09
  bhvLllSinkingSquarePlatforms                       = e_mapobj_motos10
  bhvLllTiltingInvertedPyramid                       = e_mapobj_motos11
  bhvUnused1F30                                      = e_mapobj_motos23
  bhvKoopaShell                                      = e_nokoboard
  bhvKoopaShellFlame                                 = e_effect_fire
  bhvToxBox                                          = e_onimasu
  bhvPiranhaPlant                                    = e_pakun
  bhvLllHexagonalMesh                                = e_patch_0
  bhvLllBowserPuzzlePiece                            = e_pazzule
  bhvLllBowserPuzzle                                 = e_mapobj_motos12
  bhvTuxiesMother                                    = e_ping_oya
  bhvPenguinBaby                                     = e_ping_kodomo_badoya
  bhvUnused20E0                                      = e_ping_kodomo_return
  bhvSmallPenguin                                    = e_ping_kodomo
  bhvManyBlueFishSpawner                             = e_fishmother_many
  bhvFewBlueFishSpawner                              = e_fishmother_little
  bhvFishSpawner                                     = e_sakanamother
  ? (0x2160)                                         = e_sakanacommon
  bhvFish                                            = e_sakanachild
  bhvWdwExpressElevator                              = e_poollift
  bhvWdwExpressElevatorPlatform                      = e_poollift_stop
  bhvChirpChirp                                      = e_pukumother_many
  bhvChirpChirpUnused                                = e_pukumother_common
  bhvBub                                             = e_puku
  bhvExclamationBox                                  = e_qbox
  bhvRotatingExclamationMark                         = e_qbox_mark
  bhvSoundSpawner                                    = e_removesound
  bhvRockSolid                                       = e_sea_stone
  bhvBowserSubDoor                                   = e_sensuikan_futa
  bhvBowsersSub                                      = e_sensuikan
  bhvSushiShark                                      = e_shark
  bhvSushiSharkCollisionChild                        = e_sharkhead
  bhvJrbSlidingBox                                   = e_moving_cube
  bhvShipPart3                                       = e_fune_move
  bhvInSunkenShip3                                   = e_fune_atari
  bhvSunkenShipPart                                  = e_fune_ue
  bhvSunkenShipSetRotation                           = [s] fune_sita_angle
  bhvSunkenShipPart2                                 = e_fune_sita
  bhvInSunkenShip                                    = e_fune_sita_atari_1
  bhvInSunkenShip2                                   = e_fune_sita_atari_2
  ? (0x248c)                                         = [s] fune_sita_atari_common
  bhvMistParticleSpawner                             = e_smokeanime
  bhvWhitePuff1                                      = e_smokeanime_1
  bhvWhitePuff2                                      = e_dustanimation
  bhvWhitePuffSmoke2                                 = e_kemuri
  bhvPurpleSwitchHiddenBoxes                         = e_switchblock_switch
  bhvBlueCoinSwitch                                  = e_switchcoin
  bhvHiddenBlueCoin                                  = e_bluecoin
  bhvOpenableCageDoor                                = e_switchdoor_object
  bhvOpenableGrill                                   = e_switchdoor
  bhvWaterLevelDiamond                               = e_switchwater
  bhvInitializeChangingWaterLevel                    = e_watermove
  bhvTweesterSandParticle                            = e_tatsumaki_object
  bhvTweester                                        = e_tornedo
  bhvMerryGoRoundBooManager                          = e_5teresa
  bhvAnimatedTexture                                 = e_obake_fire
  bhvBooInCastle                                     = e_michi_teresa
  bhvBooWithCage                                     = e_boss_teresa
  bhvBalconyBigBoo                                   = e_3Fteresa
  bhvMerryGoRoundBigBoo                              = e_BFteresa
  bhvGhostHuntBigBoo                                 = e_kaidanteresa
  ? (0x2794)                                         = [s] bigteresa_common
  bhvCourtyardBooTriplet                             = e_obake_fly
  bhvBoo                                             = e_normal_teresa
  bhvMerryGoRoundBoo                                 = e_kabenuketeresa
  bhvGhostHuntBoo                                    = e_teresa
  ? (0x2808)                                         = [s] teresa_common
  bhvHiddenStaircaseStep                             = e_teresa_kaidan
  bhvBooStaircase                                    = e_teretrap_kaidan
  bhvBbhTiltingTrapPlatform                          = e_b_teretrap
  bhvHauntedBookshelf                                = e_f_teretrap
  bhvMeshElevator                                    = e_l_teretrap
  bhvMerryGoRound                                    = e_j_teretrap
  bhvPlaysMusicTrackWhenTouched                      = e_slider_se
  bhvInsideCannon                                    = e_taihou_dai
  bhvBetaBowserAnchor                                = e_plfire
  bhvStaticCheckeredPlatform                         = e_yjlift
  bhvUnused2A10                                      = e_yjkame
  bhvUnusedFakeStar                                  = e_unbaba
  [s] unused_1                                       = e_hat_metal_wing
  ? (0x2a3c)                                         = e_hat_wing
  ? (0x2a40)                                         = e_hat_metal
  ? (0x2a44)                                         = e_hat
  bhvStaticObject                                    = e_stop
  bhvUnused2A54                                      = e_testball
  bhvCastleFloorTrap                                 = e_sel1ftrap
  bhvFloorTrapInCastle                               = e_mainroom_trap_parts
  bhvTree                                            = e_tree
  bhvSparkle                                         = e_mini_twinkle
  bhvSparkleSpawn                                    = e_twinkle_special
  bhvSparkleParticleSpawner                          = e_twinkleanime
  ? (0x2b14)                                         = e_sparkanime2
  bhvScuttlebug                                      = e_walker
  bhvScuttlebugSpawn                                 = e_wakidashi_kumo
  bhvWhompKingBoss                                   = e_wallman_boss
  bhvSmallWhomp                                      = e_wallman
  ? (0x2bd4)                                         = [s] wallman_common
  bhvWaterSplash                                     = e_waterdive
  bhvWaterDroplet                                    = e_smallwaterdrop
  bhvWaterDropletSplash                              = e_smalldropripple
  bhvBubbleSplash                                    = e_dropripple
  bhvIdleWaterWave                                   = e_waterrippleB
  bhvObjectWaterSplash                               = e_rippleA
  bhvShallowWaterWave                                = e_smallsplash
  bhvShallowWaterSplash                              = e_jumpsplash
  bhvObjectWaveTrail                                 = e_enemywave
  bhvWaveTrail                                       = e_playerwave
  ? (0x2dd0)                                         = [s] wave_common
  bhvTinyStrongWindParticle                          = e_wind_effect
  bhvStrongWindParticle                              = e_wind_object
  bhvSLSnowmanWind                                   = e_wind
  bhvSLWalkingPenguin                                = e_wind_ping
  bhvYellowBall                                      = e_yellowball
  [s] behavior_data_unused_0                         = ? (0x2eb8)
  bhvMario                                           = e_mario
  bhvToadMessage                                     = e_decor_kinopio
  bhvUnlockDoorStar                                  = e_stardoor_effect
  bhvInstantActiveWarp                               = e_player_waiting
  bhvAirborneWarp                                    = e_player_landing
  bhvHardAirKnockBackWarp                            = e_player_falling
  bhvSpinAirborneCircleWarp                          = e_player_rolling
  bhvDeathWarp                                       = e_player_downing
  bhvSpinAirborneWarp                                = e_player_entpict
  bhvFlyingWarp                                      = e_player_flight
  bhvPaintingStarCollectWarp                         = e_player_entwinner
  bhvPaintingDeathWarp                               = e_player_entloser
  bhvAirborneDeathWarp                               = e_player_landloser
  bhvAirborneStarCollectWarp                         = e_player_landwinner
  bhvLaunchStarCollectWarp                           = e_player_pushout
  bhvLaunchDeathWarp                                 = e_player_pushdown
  bhvSwimmingWarp                                    = e_player_swimming
  [s] behavior_data_unused_1                         = ? (0x2f98)
  bhvRandomAnimatedTexture                           = e_i_test
  bhvYellowBackgroundInMenu                          = e_istop
  ? (0x2fd0)                                         = [s] istop_main
  bhvMenuButton                                      = e_button1
  ? (0x2ff4)                                         = [s] button_main
  bhvMenuButtonManager                               = e_fileSelect
  ? (0x3018)                                         = [s] fileSelect_main
  bhvActSelectorStarType                             = e_select_polystar
  bhvActSelector                                     = e_courseStarmain
  ? (0x3058)                                         = [s] CoStar_main
  bhvMovingYellowCoin                                = e_move_coin
  bhvMovingBlueCoin                                  = e_slider_coin
  bhvBlueCoinSliding                                 = e_escape_coin
  bhvBlueCoinJumping                                 = e_escape_coin2
  bhvSeaweed                                         = e_kombu_one
  ? (0x3150)                                         = [s] kombu_one_main
  bhvSeaweedBundle                                   = e_kombu
  ? (0x316c)                                         = [s] kombu_main
  bhvBobomb                                          = e_newbom
  bhvBobombFuseSmoke                                 = e_bom_pusu
  bhvBobombBuddy                                     = e_messbom
  bhvBobombBuddyOpensCannon                          = e_futa_bom
  bhvCannonClosed                                    = e_bom_cannon
  bhvWhirlpool                                       = e_uzumaki
  ? (0x32b8)                                         = [s] uzumaki_main
  bhvJetStream                                       = e_fukidasi
  bhvMessagePanel                                    = e_tatefuda
  bhvSignOnWall                                      = e_kanban
  bhvHomingAmp                                       = e_biribiri
  bhvCirclingAmp                                     = e_gurubiri
  bhvButterfly                                       = e_butterfly
  ? (0x33dc)                                         = [s] butterfly_main
  bhvHoot                                            = e_bird
  ? (0x3410)                                         = [s] bird_main
  bhvBetaHoldableObject                              = e_new_kame
  bhvCarrySomething1                                 = e_kame2
  bhvCarrySomething2                                 = [s] emode_kame_wait
  bhvCarrySomething3                                 = emode_kame_catch
  bhvCarrySomething4                                 = emode_kame_drop
  bhvCarrySomething5                                 = emode_kame_throw
  bhvCarrySomething6                                 = emode_kame_next
  bhvObjectBubble                                    = e_item_buble
  bhvObjectWaterWave                                 = e_item_ripple
  bhvExplosion                                       = e_bombfire
  bhvBobombBullyDeathSmoke                           = e_bom_smoke
  bhvSmoke                                           = e_iwa_smoke
  bhvBobombExplosionBubble                           = e_fire_bubble
  bhvBobombExplosionBubble3600                       = [s] move_f_bubble
  bhvRespawner                                       = e_reset
  bhvSmallBully                                      = e_otos
  bhvBigBully                                        = e_big_otos
  bhvBigBullyWithMinions                             = e_big_otos2
  bhvSmallChillBully                                 = e_ice_otos
  bhvBigChillBully                                   = e_big_ice_otos
  bhvJetStreamRingSpawner                            = e_ring
  bhvJetStreamWaterRing                              = e_ring_parts
  bhvMantaRayWaterRing                               = e_manta_ring
  bhvMantaRayRingManager                             = e_ring_dummy
  bhvBowserBomb                                      = e_kirai
  bhvBowserBombExplosion                             = e_kopakirai_fire
  bhvBowserBombSmoke                                 = e_kopakirai_smoke
  bhvCelebrationStar                                 = e_V_star
  bhvCelebrationStarSparkle                          = e_V_starspark
  bhvStarKeyCollectionPuffSpawner                    = e_V_stardust
  bhvLllDrawbridgeSpawner                            = e_motos_bridge1
  bhvLllDrawbridge                                   = e_motos_bridge_parts
  bhvSmallBomp                                       = e_dossun_bar
  bhvLargeBomp                                       = e_dossun_bar2
  bhvWfSlidingPlatform                               = e_trans_bar
  bhvMoneybag                                        = e_kura_real
  bhvMoneybagHidden                                  = e_kuramochi
  bhvPitBowlingBall                                  = e_ironball
  bhvFreeBowlingBall                                 = e_ironball_normal
  bhvBowlingBall                                     = e_rail_ironball
  bhvTtmBowlingBallSpawner                           = e_gush_ironball
  bhvBobBowlingBallSpawner                           = e_gush_ironball_few
  bhvThiBowlingBallSpawner                           = e_gush_ironball2
  bhvRrCruiserWing                                   = e_shipoar
  bhvSpindel                                         = e_py_pencil
  bhvSslMovingPyramidWall                            = e_py_wall
  bhvPyramidElevator                                 = e_py_gondola
  bhvPyramidElevatorTrajectoryMarkerBall             = e_py_gondola_dot
  bhvPyramidTop                                      = e_sb_pytop
  bhvPyramidTopFragment                              = e_sb_py_hahen
  bhvPyramidPillarTouchDetector                      = e_pytop_dummy
  bhvWaterfallSoundLoop                              = e_falls
  bhvVolcanoSoundLoop                                = e_magumafalls
  bhvCastleFlagWaving                                = e_castle_flag
  bhvBirdsSoundLoop                                  = e_birdsing
  bhvAmbientSounds                                   = e_soyokaze
  bhvSandSoundLoop                                   = e_sandfall
  bhvHiddenAt120Stars                                = e_main_net2
  bhvSnowmansBottom                                  = e_snowrock_rail
  bhvSnowmansHead                                    = e_snowball_head
  bhvSnowmansBodyCheckpoint                          = e_snowrock_dummy
  bhvBigSnowmanWhole                                 = e_snow_body
  bhvBigBoulder                                      = e_dunjon_rock
  bhvBigBoulderGenerator                             = e_dunjon_rock_st
  bhvWingCap                                         = e_itemhat_wing
  bhvMetalCap                                        = e_itemhat_metal
  bhvNormalCap                                       = e_itemhat_blow
  bhvVanishCap                                       = e_itemhat_erase
  bhvStar                                            = e_tripstar
  bhvStarSpawnCoordinates                            = e_enemy_star
  bhvHiddenRedCoinStar                               = e_tripstar_getcoins
  bhvRedCoin                                         = e_coin_appstar
  bhvBowserCourseRedCoinStar                         = e_extstar_getcoins
  bhvHiddenStar                                      = e_tripstar_getdummy
  bhvHiddenStarTrigger                               = e_dummy_appstar
  bhvTtmRollingLog                                   = e_don_maruta
  bhvLllVolcanoFallingTrap                           = e_fm_battan
  bhvLllRollingLog                                   = e_fm_maruta
  bhv1upWalking                                      = e_1up_kinoko
  bhv1upRunningAway                                  = e_1up_kinoko_escape
  bhv1upSliding                                      = e_1up_kinoko_slider
  bhv1Up                                             = e_1up_kinoko_stop
  bhv1upJumpOnApproach                               = e_1up_kinoko_set
  bhvHidden1up                                       = e_1up_kinoko_secret
  bhvHidden1upTrigger                                = e_dummy_kinoko
  bhvHidden1upInPole                                 = e_1up_secret_chase
  bhvHidden1upInPoleTrigger                          = e_dummy_kinoko_chase
  bhvHidden1upInPoleSpawner                          = e_1up_secret_tate
  bhvControllablePlatform                            = e_NEWSlift
  bhvControllablePlatformSub                         = e_NEWSlift_button
  bhvBreakableBoxSmall                               = e_takeblock
  bhvSlidingSnowMound                                = e_iwanami_parts
  bhvSnowMoundSpawn                                  = e_iwanami
  bhvWdwSquareFloatingPlatform                       = e_po_floatingbord
  bhvWdwRectangularFloatingPlatform                  = e_po_floatingbord2
  bhvJrbFloatingPlatform                             = e_12_floatingbord
  bhvArrowLift                                       = e_po_moveblock
  bhvOrangeNumber                                    = e_numbers
  bhvMantaRay                                        = e_d_manta
  bhvFallingPillar                                   = e_wd_pillar
  bhvFallingPillarHitbox                             = e_pillar_hit
  bhvPillarBase                                      = e_wd_pillarbase
  bhvJrbFloatingBox                                  = e_wd_kibako
  bhvDecorativePendulum                              = e_clock_furiko
  bhvTreasureChestsShip                              = e_tbox_quize
  bhvTreasureChestsJrb                               = e_tbox_quize_ground
  bhvTreasureChests                                  = e_tbox_quize23
  bhvTreasureChestBottom                             = e_trebox
  bhvTreasureChestTop                                = e_trebox_futa
  bhvMips                                            = e_rabbit
  bhvYoshi                                           = e_yoshi
  bhvKoopa                                           = e_noko
  bhvKoopaRaceEndpoint                               = e_kamegoal
  bhvKoopaFlag                                       = e_goal_flag
  bhvPokey                                           = e_sanbo
  bhvPokeyBodyPart                                   = e_sanbo_body
  bhvSwoop                                           = e_bat
  bhvFlyGuy                                          = e_heyho
  bhvGoomba                                          = e_kuribo
  bhvGoombaTripletSpawner                            = e_kuribo_set
  bhvChainChomp                                      = e_wanwan
  bhvChainChompChainPart                             = e_wanwan_chn
  bhvWoodenPost                                      = e_kui
  bhvChainChompGate                                  = e_wanwan_fence
  bhvWigglerHead                                     = e_hanachan
  bhvWigglerBody                                     = e_hanachan_body
  bhvEnemyLakitu                                     = e_jugem
  bhvCameraLakitu                                    = e_camera_jugem
  bhvCloud                                           = e_cloud
  bhvCloudPart                                       = e_cloud_child
  bhvSpiny                                           = e_togezo
  bhvMontyMole                                       = e_indy
  bhvMontyMoleHole                                   = e_hole
  bhvMontyMoleRock                                   = e_stone
  bhvPlatformOnTrack                                 = e_linelift
  bhvTrackBall                                       = e_linelift_mark
  bhvSeesawPlatform                                  = e_seesaw_s17
  bhvFerrisWheelAxle                                 = e_pedallift
  bhvFerrisWheelPlatform                             = e_pedallift_child
  bhvWaterBombSpawner                                = e_waterbom
  bhvWaterBomb                                       = e_waterbom_child
  bhvWaterBombShadow                                 = e_waterbom_shadow
  bhvTTCRotatingSolid                                = e_tokeirot
  bhvTTCPendulum                                     = e_tokeiswing
  bhvTTCTreadmill                                    = e_tokeiconv
  bhvTTCMovingBar                                    = e_tokeibiyon
  bhvTTCCog                                          = e_tokeikurukuru
  bhvTTCPitBlock                                     = e_tokeiudblock
  bhvTTCElevator                                     = e_tokeiudlift
  bhvTTC2DRotator                                    = e_tokeisecondhand
  bhvTTCSpinner                                      = e_tokeipinwheel
  bhvMrBlizzard                                      = e_snowman
  bhvMrBlizzardSnowball                              = e_snowball
  bhvSlidingPlatform2                                = e_derublock
  bhvOctagonalPlatformRotating                       = e_rotstand
  bhvAnimatesOnFloorSwitchPress                      = e_stepslope
  bhvActivatedBackAndForthPlatform                   = e_ridestartlift
  bhvRecoveryHeart                                   = e_hart
  bhvWaterBombCannon                                 = e_watercanon
  bhvCannonBarrelBubbles                             = e_watercanon_child
  bhvUnagi                                           = e_ubboo
  bhvUnagiSubobject                                  = e_ubboo_dummy
  bhvDorrie                                          = e_nessy
  bhvHauntedChair                                    = e_chair
  bhvMadPiano                                        = e_piano
  bhvFlyingBookend                                   = e_book
  bhvBookendSpawn                                    = e_book_shot
  bhvHauntedBookshelfManager                         = e_book_boss
  bhvBookSwitch                                      = e_book_boss_child
  bhvFirePiranhaPlant                                = e_firepakun
  bhvSmallPiranhaFlame                               = e_firepakun_ball
  bhvFireSpitter                                     = e_fire_shot
  bhvFlyguyFlame                                     = e_firepakun_ball_effect
  bhvSnufit                                          = e_mucho
  bhvSnufitBalls                                     = e_mucho_ball
  bhvHorizontalGrindel                               = e_jiro
  bhvEyerokBoss                                      = e_handman
  bhvEyerokHand                                      = e_handman_hand
  bhvKlepto                                          = e_condor
  bhvBird                                            = e_minibird
  bhvRacingPenguin                                   = e_racepengin
  bhvPenguinRaceFinishLine                           = e_pengingoal
  bhvPenguinRaceShortcutCheck                        = e_penginjudge
  bhvCoffinSpawner                                   = e_kanoke
  bhvCoffin                                          = e_kanoke_child
  bhvClamShell                                       = e_bigshell
  bhvSkeeter                                         = e_amembow
  bhvSkeeterWave                                     = e_amembow_ripple
  bhvSwingPlatform                                   = e_swinglift
  bhvDonutPlatformSpawner                            = e_chikuwa
  bhvDonutPlatform                                   = e_chikuwa_child
  bhvDDDPole                                         = e_movebar
  bhvRedCoinStarMarker                               = e_starpanel
  bhvTripletButterfly                                = e_fly
  bhvBubba                                           = e_buku
  bhvBeginningLakitu                                 = e_opening_jugem
  bhvBeginningPeach                                  = e_opening_peach
  bhvEndBirds1                                       = e_ending_bird
  bhvEndBirds2                                       = e_ending_bird2
  bhvIntroScene                                      = e_demo_producer
