[s] obj_is_rendering_enabled                       = [s] i_anime_stop_check
[s] pokey_act_wander                               = [s] sanbo_move
[s] pokey_act_unload_parts                         = [s] sanbo_remove
bhv_pokey_update                                   = s_sanbo
[s] swoop_act_idle                                 = [s] bat_wait
[s] swoop_act_move                                 = [s] bat_search
bhv_swoop_update                                   = s_bat
[s] fly_guy_act_idle                               = [s] heyho_wait
[s] fly_guy_act_approach_mario                     = [s] heyho_search
[s] fly_guy_act_lunge                              = [s] heyho_attack
[s] fly_guy_act_shoot_fire                         = [s] heyho_fire_shot
bhv_fly_guy_update                                 = s_heyho
bhv_goomba_triplet_spawner_update                  = s_kuribo_set
bhv_goomba_init                                    = s_kuribo_initial
[s] goomba_begin_jump                              = [s] kuribo_jump_set
[s] mark_goomba_as_dead                            = [s] kuribo_remove_check
[s] goomba_act_walk                                = [s] kuribo_walk
[s] goomba_act_attacked_mario                      = [s] kuribo_win
[s] goomba_act_jump                                = [s] kuribo_jump
huge_goomba_weakly_attacked                        = kuribo_win_initial
bhv_goomba_update                                  = s_kuribo
bhv_chain_chomp_chain_part_update                  = s_wanwan_chn
[s] chain_chomp_act_uninitialized                  = [s] wanwan_wait
[s] chain_chomp_update_chain_segments              = [s] chn_move
[s] chain_chomp_restore_normal_chain_lengths       = [s] wanwan_chain_check
[s] chain_chomp_sub_act_turn                       = [s] wanwan_walk
[s] chain_chomp_sub_act_lunge                      = [s] wanwan_attack
[s] chain_chomp_released_trigger_cutscene          = [s] wanwan_free_initial
[s] chain_chomp_released_lunge_around              = [s] wanwan_free_jumpdemo
[s] chain_chomp_released_break_gate                = [s] wanwan_free_fencebreak
[s] chain_chomp_released_jump_away                 = [s] wanwan_free_escape
[s] chain_chomp_released_end_cutscene              = [s] wanwan_free_end
[s] chain_chomp_act_move                           = [s] wanwan_move
[s] chain_chomp_act_unload_chain                   = [s] wanwan_remove
bhv_chain_chomp_update                             = s_wanwan
bhv_wooden_post_update                             = s_kui
bhv_chain_chomp_gate_init                          = s_wanwan_fence_initial
bhv_chain_chomp_gate_update                        = s_wanwan_fence
bhv_wiggler_body_part_update                       = s_hanachan_body
wiggler_init_segments                              = [s] hanachan_initial
wiggler_update_segments                            = [s] hanachan_body_calc
[s] wiggler_act_walk                               = [s] hanachan_move
[s] wiggler_act_jumped_on                          = [s] hanachan_damage
[s] wiggler_act_knockback                          = [s] hanachan_hitjump
[s] wiggler_act_shrink                             = [s] hanachan_dead
[s] wiggler_act_fall_through_floor                 = [s] hanachan_fall
wiggler_jumped_on_attack_handler                   = hanachan_tramp_initial
bhv_wiggler_update                                 = s_hanachan
[s] spiny_check_active                             = [s] togezo_remove_check
[s] spiny_act_walk                                 = [s] togezo_walk
[s] spiny_act_held_by_lakitu                       = [s] togezo_catch
[s] spiny_act_thrown_by_lakitu                     = [s] togezo_throw
bhv_spiny_update                                   = s_togezo
[s] enemy_lakitu_act_uninitialized                 = [s] jugem_wait
[s] enemy_lakitu_update_vel_y                      = [s] jugem_fuwaguwa
[s] enemy_lakitu_update_speed_and_angle            = [s] jugem_calc
[s] enemy_lakitu_sub_act_no_spiny                  = [s] jugem_search
[s] enemy_lakitu_sub_act_hold_spiny                = [s] jugem_catch
[s] enemy_lakitu_sub_act_throw_spiny               = [s] jugem_throw
[s] enemy_lakitu_act_main                          = [s] jugem_move
bhv_enemy_lakitu_update                            = s_jugem
[s] cloud_act_spawn_parts                          = [s] cloud_initial
[s] cloud_act_fwoosh_hidden                        = [s] cloud_wait
[s] cloud_fwoosh_update                            = [s] window_cloud
[s] cloud_act_main                                 = [s] cloud_move
[s] cloud_act_unload                               = [s] cloud_remove
bhv_cloud_update                                   = s_cloud
bhv_cloud_part_update                              = s_cloud_child
bhv_camera_lakitu_init                             = s_camera_jugem_initial
[s] camera_lakitu_intro_act_trigger_cutscene       = [s] opening_jugem_wait
[s] camera_lakitu_intro_act_spawn_cloud            = [s] opening_jugem_demowait
[s] camera_lakitu_intro_act_show_dialog            = [s] opening_jugem_move
bhv_camera_lakitu_update                           = s_camera_jugem
[s] link_objects_with_behavior                     = [s] treesearch_object
[s] monty_mole_select_available_hole               = [s] select_hole
bhv_monty_mole_hole_update                         = s_hole
monty_mole_spawn_dirt_particles                    = [s] sand_effect_set
bhv_monty_mole_init                                = s_indy_initial
[s] monty_mole_act_select_hole                     = [s] indy_wait
[s] monty_mole_act_rise_from_hole                  = [s] indy_peepup
[s] monty_mole_act_spawn_rock                      = [s] indy_peepupend
[s] monty_mole_act_begin_jump_into_hole            = [s] indy_peepwait
[s] monty_mole_act_throw_rock                      = [s] indy_throw
[s] monty_mole_act_jump_into_hole                  = [s] indy_divejump
[s] monty_mole_hide_in_hole                        = [s] indy_reset
[s] monty_mole_act_hide                            = [s] indy_dive
[s] monty_mole_act_jump_out_of_hole                = [s] indy_attack
bhv_monty_mole_update                              = s_indy
[s] monty_mole_rock_act_held                       = [s] stone_catch
[s] monty_mole_rock_act_move                       = [s] stone_throw
bhv_monty_mole_rock_update                         = s_stone
[s] platform_on_track_reset                        = [s] linelift_reset_initial
[s] platform_on_track_mario_not_on_platform        = [s] linelift_display_check
bhv_platform_on_track_init                         = s_linelift_initial
[s] platform_on_track_act_init                     = [s] linelift_reset
[s] platform_on_track_act_wait_for_mario           = [s] linelift_wait
[s] platform_on_track_act_move_along_track         = [s] linelift_move
[s] platform_on_track_act_pause_briefly            = [s] linelift_turnwait
[s] platform_on_track_act_fall                     = [s] linelift_fall
[s] platform_on_track_rock_ski_lift                = [s] rope_lift_check
bhv_platform_on_track_update                       = s_linelift
bhv_track_ball_update                              = s_linelift_mark
bhv_seesaw_platform_init                           = s_seesaw_initial
bhv_seesaw_platform_update                         = s_seesaw
bhv_ferris_wheel_axle_init                         = s_pedallift_initial
bhv_ferris_wheel_platform_update                   = s_pedallift_child
bhv_water_bomb_spawner_update                      = s_waterbom
water_bomb_spawn_explode_particles                 = [s] bubble_effect_set
[s] water_bomb_act_init                            = [s] waterbomc_wait
[s] water_bomb_act_drop                            = [s] waterbomc_fall
[s] water_bomb_act_explode                         = [s] waterbomc_remove
[s] water_bomb_act_shot_from_cannon                = [s] waterbomc_shot
bhv_water_bomb_update                              = s_waterbom_child
bhv_water_bomb_shadow_update                       = s_waterbom_shadow
bhv_ttc_rotating_solid_init                        = s_tokeirot_initial
bhv_ttc_rotating_solid_update                      = s_tokeirot
bhv_ttc_pendulum_init                              = s_tokeiswing_initial
bhv_ttc_pendulum_update                            = s_tokeiswing
bhv_ttc_treadmill_init                             = s_tokeiconv_initial
bhv_ttc_treadmill_update                           = s_tokeiconv
bhv_ttc_moving_bar_init                            = s_tokeibiyon_initial
[s] ttc_moving_bar_act_wait                        = [s] tokeibiyon_wait
[s] ttc_moving_bar_act_pull_back                   = [s] tokeibiyon_pull
[s] ttc_moving_bar_reset                           = [s] tokeibiyon_to_wait
[s] ttc_moving_bar_act_extend                      = [s] tokeibiyon_move
[s] ttc_moving_bar_act_retract                     = [s] tokeibiyon_return
bhv_ttc_moving_bar_update                          = s_tokeibiyon
bhv_ttc_cog_init                                   = s_tokeikurukuru_initial
bhv_ttc_cog_update                                 = s_tokeikurukuru
bhv_ttc_pit_block_init                             = s_tokeiudblock_initial
bhv_ttc_pit_block_update                           = s_tokeiudblock
bhv_ttc_elevator_init                              = s_tokeiudlift_initial
bhv_ttc_elevator_update                            = s_tokeiudlift
bhv_ttc_2d_rotator_init                            = s_tokeisecondhand_initial
bhv_ttc_2d_rotator_update                          = s_tokeisecondhand
bhv_ttc_spinner_update                             = s_tokeipinwheel
mr_blizzard_spawn_white_particles                  = [s] snow_effect_set
bhv_mr_blizzard_init                               = s_snowman_initial
[s] mr_blizzard_act_spawn_snowball                 = [s] snowman_catch
[s] mr_blizzard_act_hide_unhide                    = [s] snowman_wait
[s] mr_blizzard_act_rise_from_ground               = [s] snowman_headup
[s] mr_blizzard_act_rotate                         = [s] snowman_search
[s] mr_blizzard_act_death                          = [s] snowman_down
[s] mr_blizzard_act_throw_snowball                 = [s] snowman_throw
[s] mr_blizzard_act_burrow                         = [s] snowman_dive
[s] mr_blizzard_act_jump                           = [s] snowman_pyonpyon
bhv_mr_blizzard_update                             = s_snowman
[s] mr_blizzard_snowball_act_0                     = [s] snowball_shot
[s] mr_blizzard_snowball_act_1                     = [s] snowball_catch
[s] mr_blizzard_snowball_act_2                     = [s] snowball_throw
bhv_mr_blizzard_snowball                           = s_snowball
bhv_sliding_plat_2_init                            = s_derublock_initial
bhv_sliding_plat_2_loop                            = s_derublock
bhv_rotating_octagonal_plat_init                   = s_rotstand_initial
bhv_rotating_octagonal_plat_loop                   = s_rotstand
bhv_animates_on_floor_switch_press_init            = s_stepslope_initial
bhv_animates_on_floor_switch_press_loop            = s_stepslope
bhv_activated_back_and_forth_platform_init         = s_ridestartlift_initial
bhv_activated_back_and_forth_platform_update       = s_ridestartlift
bhv_recovery_heart_loop                            = s_hart
bhv_bubble_cannon_barrel_loop                      = s_watercanon_child
water_bomb_cannon_act_0                            = [s] watercanon_wait
water_bomb_cannon_act_1                            = [s] watercanon_move
water_bomb_cannon_act_2                            = [s] watercanon_remove
bhv_water_bomb_cannon_loop                         = s_watercanon
bhv_unagi_init                                     = s_ubboo_initial
unagi_act_0                                        = [s] ubboo_look
unagi_act_1_4                                      = [s] ubboo_swim
unagi_act_2                                        = [s] ubboo_reset
unagi_act_3                                        = [s] ubboo_wait
bhv_unagi_loop                                     = s_ubboo
bhv_unagi_subobject_loop                           = s_ubboo_dummy
dorrie_raise_head                                  = [s] nessy_calc_playerpos
dorrie_act_move                                    = [s] nessy_swim
dorrie_begin_head_raise                            = [s] nessy_neck_up_initial
dorrie_act_lower_head                              = [s] nessy_neck_down
dorrie_act_raise_head                              = [s] nessy_neck_up
bhv_dorrie_update                                  = s_nessy
bhv_haunted_chair_init                             = s_chair_initial
haunted_chair_act_0                                = [s] chair_wait
haunted_chair_act_1                                = [s] chair_attack
bhv_haunted_chair_loop                             = s_chair
[s] mad_piano_act_wait                             = [s] piano_wait
[s] mad_piano_act_attack                           = [s] piano_attack
bhv_mad_piano_update                               = s_piano
flying_bookend_act_0                               = [s] book_wait
flying_bookend_act_1                               = [s] book_open
flying_bookend_act_2                               = [s] book_attack
flying_bookend_act_3                               = [s] book_shot
bhv_flying_bookend_loop                            = s_book
bhv_bookend_spawn_loop                             = s_book_shot
bookshelf_manager_act_0                            = [s] book_boss_wait
bookshelf_manager_act_1                            = [s] book_boss_start
bookshelf_manager_act_2                            = [s] book_boss_move
bookshelf_manager_act_3                            = [s] book_boss_open
bookshelf_manager_act_4                            = [s] book_boss_remove
bhv_haunted_bookshelf_manager_loop                 = s_book_boss
bhv_book_switch_loop                               = s_book_boss_child
obj_spit_fire                                      = i_set_fireball
bhv_fire_piranha_plant_init                        = s_firepakun_initial
[s] fire_piranha_plant_act_hide                    = [s] firepakun_wait
[s] fire_piranha_plant_act_grow                    = [s] firepakun_attack
bhv_fire_piranha_plant_update                      = s_firepakun
[s] fire_spitter_act_idle                          = [s] fire_shot_wait
[s] fire_spitter_act_spit_fire                     = [s] fire_shot_attack
bhv_fire_spitter_update                            = s_fire_shot
bhv_small_piranha_flame_loop                       = s_firepakun_ball
bhv_fly_guy_flame_loop                             = s_firepakun_ball_effect
geo_snufit_move_mask                               = OffsetAnimeCtrl
geo_snufit_scale_body                              = ScaleAnimeCtrl
snufit_act_idle                                    = [s] mucho_wait
snufit_act_shoot                                   = [s] mucho_shot
bhv_snufit_loop                                    = s_mucho
bhv_snufit_balls_loop                              = s_mucho_ball
bhv_horizontal_grindel_init                        = s_jiro_initial
bhv_horizontal_grindel_update                      = s_jiro
[s] eyerok_check_mario_relative_z                  = [s] handman_Z_check
[s] eyerok_spawn_hand                              = [s] handman_hand_make
[s] eyerok_boss_act_sleep                          = [s] handman_initial
[s] eyerok_boss_act_wake_up                        = [s] handman_wait
[s] eyerok_boss_act_show_intro_text                = [s] handman_msgwait
[s] eyerok_boss_act_fight                          = [s] handman_move
[s] eyerok_boss_act_die                            = [s] handman_remove
bhv_eyerok_boss_loop                               = s_handman
[s] eyerok_hand_check_attacked                     = [s] handman_hand_hit_check
[s] eyerok_hand_pound_ground                       = [s] handman_just_ground
[s] eyerok_hand_act_sleep                          = [s] handman_hand_initial
[s] eyerok_hand_act_idle                           = [s] handman_hand_standby
[s] eyerok_hand_act_open                           = [s] handman_hand_wait_start
[s] eyerok_hand_act_show_eye                       = [s] handman_hand_wait
[s] eyerok_hand_act_close                          = [s] handman_hand_wait_end
[s] eyerok_hand_act_attacked                       = [s] handman_hand_damage
[s] eyerok_hand_act_recover                        = [s] handman_hand_damage_end
[s] eyerok_hand_act_become_active                  = [s] handman_hand_damage_wait
[s] eyerok_hand_act_die                            = [s] handman_hand_dead
[s] eyerok_hand_act_retreat                        = [s] handman_hand_return
[s] eyerok_hand_act_target_mario                   = [s] handman_hand_attack_search
[s] eyerok_hand_act_smash                          = [s] handman_hand_attack
[s] eyerok_hand_act_fist_push                      = [s] handman_hand_punch
[s] eyerok_hand_act_fist_sweep                     = [s] handman_hand_push
[s] eyerok_hand_act_begin_double_pound             = [s] handman_hand_combo_start
[s] eyerok_hand_act_double_pound                   = [s] handman_hand_combo
bhv_eyerok_hand_loop                               = s_handman_hand
[s] klepto_target_mario                            = [s] condor_psearch
[s] klepto_set_and_check_if_anim_at_end            = [s] condor_flying_check
[s] klepto_anim_dive                               = [s] condor_flying_pattern_check
bhv_klepto_init                                    = s_condor_initial
[s] klepto_change_target                           = [s] condor_next_point_set
[s] klepto_circle_target                           = [s] condor_wait
[s] klepto_approach_target                         = [s] condor_fly
[s] klepto_act_wait_for_mario                      = [s] condor_thief
[s] klepto_act_turn_toward_mario                   = [s] condor_kakku_search
[s] klepto_act_dive_at_mario                       = [s] condor_kakku
[s] klepto_act_struck_by_mario                     = [s] condor_crash
[s] klepto_act_retreat                             = [s] condor_crash_end
[s] klepto_act_reset_position                      = [s] condor_goodby
obj_set_speed_to_zero                              = condor_tramp_initial
bhv_klepto_update                                  = s_condor
[s] bird_act_inactive                              = [s] minibird_initial
[s] bird_act_fly                                   = [s] minibird_move
bhv_bird_update                                    = s_minibird
bhv_racing_penguin_init                            = s_racepengin_initial
[s] racing_penguin_act_wait_for_mario              = [s] racepengin_wait
[s] racing_penguin_act_show_init_text              = [s] racepengin_msgwait
[s] racing_penguin_act_prepare_for_race            = [s] racepengin_standby
[s] racing_penguin_act_race                        = [s] racepengin_slide
[s] racing_penguin_act_finish_race                 = [s] racepengin_goal
[s] racing_penguin_act_show_final_text             = [s] racepengin_end
bhv_racing_penguin_update                          = s_racepengin
bhv_penguin_race_finish_line_update                = s_pengingoal
bhv_penguin_race_shortcut_check_update             = s_penginjudge
bhv_coffin_spawner_loop                            = s_kanoke
coffin_act_idle                                    = [s] kanoke_wait
coffin_act_stand_up                                = [s] kanoke_standup
bhv_coffin_loop                                    = s_kanoke_child
clam_act_0                                         = [s] bigshell_close
clam_act_1                                         = [s] bigshell_open
bhv_clam_loop                                      = s_bigshell
[s] skeeter_spawn_waves                            = [s] amembow_ripple_set
[s] skeeter_act_idle                               = [s] amembow_wait
[s] skeeter_act_lunge                              = [s] amembow_dash
[s] skeeter_act_walk                               = [s] amembow_walk
bhv_skeeter_update                                 = s_amembow
bhv_skeeter_wave_update                            = s_amembow_ripple
bhv_swing_platform_init                            = s_swinglift_initial
bhv_swing_platform_update                          = s_swinglift
bhv_donut_platform_spawner_update                  = s_chikuwa
bhv_donut_platform_update                          = s_chikuwa_child
bhv_ddd_pole_init                                  = s_movebar_initial
bhv_ddd_pole_update                                = s_movebar
bhv_red_coin_star_marker_init                      = s_starpanel_initial
[s] triplet_butterfly_act_init                     = [s] fly_wait
[s] triplet_butterfly_act_wander                   = [s] fly_move
[s] triplet_butterfly_act_activate                 = [s] fly_change
[s] triplet_butterfly_act_explode                  = [s] fly_bom
bhv_triplet_butterfly_update                       = s_fly
bubba_act_0                                        = [s] buku_wait
bubba_act_1                                        = [s] buku_search
bhv_bubba_loop                                     = s_buku
