  __main__                                           = main
  add_obj_pos_to_bounding_box                        = vertex_bound
  get_some_bounding_box                              = end_bound
  stub_objects_1                                     = remove_object
  [s] get_obj_name_str                               = Get_ObjTypeName
  make_object                                        = make_object
  make_zone                                          = make_zone
  func_8017C7A0                                      = make_lightpoint
  make_link_to_obj                                   = make_link
  make_vtx_link                                      = make_plink
  make_valptr                                        = make_valptr
  reset_plane                                        = reset_plane
  make_plane                                         = make_plane
  make_camera                                        = make_camera
  make_material                                      = make_material
  make_light                                         = make_light
  make_view                                          = make_view
  make_animator                                      = make_anim
  make_weight                                        = make_weight
  make_group_of_type                                 = make_groupfromto
  format_object_id                                   = sprintf_objid
  make_group                                         = make_group
  addto_group                                        = addto_group
  addto_groupfirst                                   = addto_groupfirst
  group_contains_obj                                 = ingroup
  show_details                                       = printf_detailsabout
  stub_objects_2                                     = make_ctrlscene
  make_scene                                         = make_mainscene
  [s] reset_joint_or_net                             = reset_object
  menu_cb_reset_positions                            = reset_all
  func_8017E2F0                                      = nextobject
  apply_to_obj_types_in_group                        = process_group
  func_8017E584                                      = add_disp
  func_8017E838                                      = add_torque
  func_8017E9EC                                      = calc_torque
  func_8017EA94                                      = pos_in_plane_box
  func_8017EB24                                      = in_bound_range
  is_obj_xz_in_bounding_box                          = inside_box
  is_point_xz_in_bounding_box                        = pos_inside_box
  gd_plane_point_within                              = boxes_overlap
  transform_child_objects_recursive                  = proc_attobj
  func_8017F210                                      = fproc_attobj
  func_8017F3CC                                      = vertex_rotate
  stub_objects_3                                     = do_morph
  interpolate_animation_transform                    = do_srt
  move_animator                                      = move_animator
  drag_picked_object                                 = move_selectedobj
  move_animators                                     = move_animators
  find_and_drag_picked_object                        = move_selected
  move_camera                                        = move_camera
  move_cameras_in_grp                                = move_cameras
  func_8018100C                                      = move_light
  move_lights_in_grp                                 = move_lights
  move_group_members                                 = domovement
  proc_view_movement                                 = movement
  reset_nets_and_gadgets                             = init_groupdynamics
  null_obj_lists                                     = init_dynamics
  func_801815E0                                      = normalise_m4
  scale_verts                                        = reset_skinvertices
  move_skin                                          = move_skinnet
  func_80181894                                      = proc_jointweights
  reset_weight_vtx                                   = find_skinobj
  reset_weight                                       = reset_weight
  reset_joint_weights                                = reset_jointweights
  [s] connect_vertices                               = try_connecting
  Unknown80181D14                                    = find_attparticles
  func_80181EB0                                      = proc_Yconnection
  func_80182088                                      = proc_connection
  func_801823A0                                      = move_particlenet
  make_particle                                      = make_particle
  make_connection                                    = make_connection
  func_80182778                                      = onframe
  func_80182A08                                      = gen_fairy
  move_particle                                      = move_particle
  move_particles_in_grp                              = move_particles
  Unknown801835C8                                    = proc_attachedparticles
  stub_particles_1                                   = find_nearparticles
  stub_particles_2                                   = space_particle
  stub_particles_3                                   = force_particles
  stub_particles_4                                   = do_face_and_particle_coll
  func_801838D0                                      = check_particle_coll
  d_stash_dynobj                                     = dSaveObjPtr
  d_unstash_dynobj                                   = dLoadObjPtr
  reset_dynlist                                      = init_dynlib
  proc_dynlist                                       = proc_dynlist
  d_set_name_suffix                                  = dSetPrefix
  d_append_to_name_suffix                            = dAddPrefix
  [s] stash_name_suffix                              = dSavePrefix
  [s] unstash_name_suffix                            = dLoadPrefix
  [s] get_dynobj_info                                = dFindObj
  reset_dynamic_objs                                 = dClear
  d_add_net_with_subgroup                            = dStartChain
  d_end_net_with_subgroup                            = dEndChain
  d_attach_joint_to_net                              = dAddLink
  d_make_netfromshapeid                              = dMakeNetFromShape
  d_make_netfromshape_ptrptr                         = dMakeNetFromShapePtrPtr
  add_to_dynobj_list                                 = add_obj2dynlist
  [s] integer_name_to_string                         = convert_name
  d_makeobj                                          = dMakeObj
  d_attach                                           = dAttach
  d_attach_to                                        = dAttachToObj
  d_attachto_dynid                                   = dAttachTo
  copy_bytes                                         = copy_data
  alloc_animdata                                     = Copy_AnimGroupData
  chk_shapegen                                       = chk_shapegen
  d_set_nodegroup                                    = dSetNodeGroup
  d_set_matgroup                                     = dSetMatGroup
  d_set_texture_st                                   = dSetTextureST
  d_use_texture                                      = dUseTexture
  d_set_skinshape                                    = dSetSkinShape
  d_map_materials                                    = dMapMaterials
  d_map_vertices                                     = dMapVertices
  d_set_planegroup                                   = dSetPlaneGroup
  d_set_shapeptrptr                                  = dSetShapePtrPtr
  d_set_shapeptr                                     = dSetShapePtr
  d_use_obj                                          = dUseObj
  set_cur_dynobj                                     = dUseObjPtr
  d_start_group                                      = dStartGroup
  d_end_group                                        = dEndGroup
  d_addto_group                                      = dAddToGroup
  d_use_integer_names                                = dSetNamesType
  d_set_init_pos                                     = dSetInitPos
  d_set_velocity                                     = dSetVelocity
  d_get_velocity                                     = dGetVelocity
  d_set_torque                                       = dSetTorque
  d_get_init_pos                                     = dGetInitPos
  d_get_init_rot                                     = dGetInitRot
  d_set_rel_pos                                      = dSetRelPos
  d_addto_rel_pos                                    = dAddToRelPos
  d_get_rel_pos                                      = dGetRelPos
  d_get_att_objgroup                                 = dGetAttObjGroup
  d_get_att_to_obj                                   = dGetAttToObj
  d_get_scale                                        = dGetScale
  d_set_att_offset                                   = dSetAttOffset
  d_set_att_to_offset                                = dSetAttToOffset
  d_get_att_offset                                   = dGetAttOffset
  d_get_att_flags                                    = dGetAttFlags
  d_set_world_pos                                    = dSetWorldPos
  d_set_normal                                       = dSetNormal
  d_get_world_pos_ptr                                = dGetWorldPosPtr
  d_get_world_pos                                    = dGetWorldPos
  d_make_vertex                                      = dMakeVertex
  d_set_scale                                        = dSetScale
  d_set_rotation                                     = dSetRotation
  d_center_of_gravity                                = dSetCofG
  d_set_shape_offset                                 = dSetShapeOffset
  d_add_valptr                                       = dAddValPtr
  d_add_valproc                                      = dAddValProc
  d_link_with_ptr                                    = dLinkWithPtr
  d_link_with                                        = dLinkWith
  d_set_flags                                        = dSetFlags
  d_clear_flags                                      = dClrFlags
  d_set_parm_f                                       = dSetParmf
  d_set_parm_ptr                                     = dSetParmp
  d_set_obj_draw_flag                                = dSetObjFlags
  d_set_type                                         = dSetType
  d_set_id                                           = dSetID
  d_set_colour_num                                   = dSetColNum
  d_set_material                                     = dSetMaterial
  d_friction                                         = dSetFriction
  d_set_spring                                       = dSetSpring
  d_set_ambient                                      = dSetAmbient
  d_set_diffuse                                      = dSetDiffuse
  d_set_control_type                                 = dSetControlType
  d_get_bounding_box                                 = dGetBoundBoxPtr
  d_get_matrix                                       = dGetMatrix
  d_set_matrix                                       = dSetMatrix
  d_set_rot_mtx                                      = dSetRMatrix
  d_get_rot_mtx_ptr                                  = dGetRMatrixPtr
  d_set_i_matrix                                     = dSetIMatrix
  d_get_matrix_ptr                                   = dGetMatrixPtr
  d_get_i_mtx_ptr                                    = dGetIMatrixPtr
  d_calc_world_dist_btwn                             = dObjToObjDist
  d_set_skin_weight                                  = dSetSkinWeight
  get_objvalue                                       = get_objvalue
  Unknown8018B7A8                                    = addto_pos
  [s] menu_cb_default_settings                       = set_defs
  [s] add_item_to_default_settings_menu              = add_defsetgroupmenu
  create_gui_menu                                    = define_dynamicspup
  make_label                                         = make_label
  make_gadget                                        = make_gadget
  set_objvalue                                       = set_objvalue
  set_static_gdgt_value                              = write_valptr
  [s] reset_gadget_default                           = write_gadgetval
  adjust_gadget                                      = adjust_gadget
  reset_gadget                                       = move_gadget
  reset_gadgets_in_grp                               = move_gadgets
  new_memtracker                                     = make_memtracker
  get_memtracker                                     = find_memtracker
  start_memtracker                                   = start_memtracker
  print_most_recent_memtracker_name                  = print_lastmemtracker
  stop_memtracker                                    = stop_memtracker
  remove_all_memtrackers                             = init_memtrackers
  get_memtracker_by_index                            = get_memtrackernum
  print_all_memtrackers                              = print_memtrackers
  print_all_timers                                   = print_timers
  deactivate_timing                                  = disable_timers
  activate_timing                                    = enable_timers
  remove_all_timers                                  = init_timers
  [s] new_timer                                      = make_timer
  get_timer                                          = find_timer
  [s] get_timer_checked                              = get_timer
  get_timernum                                       = get_timernum
  split_timer_ptr                                    = dopause_timer
  split_all_timers                                   = pause_alltimers
  start_all_timers                                   = restart_alltimers
  start_timer                                        = start_timer
  restart_timer                                      = restart_timer
  split_timer                                        = pause_timer
  stop_timer                                         = stop_timer
  get_scaled_timer_total                             = read_timer
  get_timer_total                                    = read_rawtimer
  fatal_print                                        = fatal_error
  print_stack_trace                                  = print_whereiam
  fatal_printf                                       = error
  imin                                               = imin
  imout                                              = imout
  gd_rand_float                                      = gd_rnd
  gd_atoi                                            = gd_atoi
  gd_lazy_atof                                       = gd_strtod
  format_number_hex                                  = gd_htostr
  format_number_decimal                              = gd_dtostr
  [s] int_sci_notation                               = power
  sprint_val_withspecifiers                          = gd_numtostr
  gd_strcpy                                          = gd_strcpy
  ascii_to_uppercase                                 = gd_convstr2upper
  gd_strdup                                          = gd_strdup
  gd_strlen                                          = gd_strlen
  gd_strcat                                          = gd_strcat
  gd_str_not_equal                                   = gd_strcmp
  gd_str_contains                                    = gd_strstr
  gd_feof                                            = gd_feof
  gd_set_feof                                        = setEOF
  gd_fopen                                           = gd_fopen
  gd_fread                                           = gd_fread
  gd_fclose                                          = gd_fclose
  gd_get_file_size                                   = gd_fsize
  is_newline                                         = [s] eolc
  gd_fread_line                                      = gd_fgets
  grabbable_joint_update_func                        = move_pick
  eye_joint_update_func                              = move_eye
  func_8018EE5C                                      = offset_jointsbyjoint
  set_joint_vecs                                     = set_jointpos
  make_joint                                         = make_joint
  make_grabber_joint                                 = make_pick
  func_8018F328                                      = reset_bone
  func_8018F4CC                                      = set_jointaxis
  func_8018F520                                      = do_bonepos
  func_8018F89C                                      = do_fixedbonepos
  func_8018FA68                                      = move_bone
  set_skin_weight                                    = add_weight2joint
  func_8018FB58                                      = reset_bonelength
  add_joint2bone                                     = add_joint2bone
  make_bone                                          = make_bone
  stub_joints_1                                      = move_bones
  func_8018FF28                                      = Add_ForceFromJoint
  print_some_spaces                                  = printn
  func_8018FFE8                                      = GetNextJoint
  func_80190168                                      = Get_Force
  func_801903E8                                      = force_joint
  func_80190574                                      = Create_JointForce
  func_801909B4                                      = reset_joints
  func_80190A20                                      = Steady_Joints
  func_80190B54                                      = Force_Joint
  func_80190E68                                      = Add_ForceToJoint2
  func_80190F3C                                      = Add_ForceToJoint
  func_801911A8                                      = node_offsetpos
  func_80191220                                      = node_pos
  func_801913C0                                      = rotnode_pos
  func_801913F0                                      = node_vel
  stub_joints_2                                      = do_node_power
  func_8019150C                                      = add_m4rottran
  reset_joint                                        = reset_joint
  func_80191824                                      = move_stickjoint
  func_801918F4                                      = joint_gravity
  func_80191A1C                                      = straighten_chain
  func_80191BF8                                      = move_joint1
  func_80191D60                                      = move_joint2
  func_80191E54                                      = move_joint3
  func_80191E88                                      = move_joints
  reset_joint_counts                                 = init_joints
  compute_net_bounding_box                           = calc_net_bound
  reset_net                                          = reset_net
  func_80192294                                      = calc_childpositions
  func_801922FC                                      = reset_net3
  make_net                                           = make_net
  func_80192528                                      = start_netforce
  collision_something_801926A4                       = end_netforce
  func_80192AD0                                      = move_sticknet
  move_bonesnet                                      = move_bonesnet
  func_80192CCC                                      = move_generalnet
  convert_gd_verts_to_Vn                             = update_vertices
  convert_gd_verts_to_Vtx                            = update_skinvertices
  convert_net_verts                                  = net_updatebuffer
  [s] move_joints_in_net                             = move_simplenet
  move_net                                           = move_net
  move_nets                                          = move_nets
  func_8019373C                                      = reset_net4
  func_80193848                                      = reset_nets
  gd_print_net                                       = print_net
  reset_net_count                                    = init_nets
  gd_sqrt_f                                          = mysqrtf
  gd_mat4f_lookat                                    = GenLookAt
  gd_scale_mat4f_by_vec3f                            = scale_mat
  gd_rot_mat_about_vec                               = rotate_mat
  gd_add_vec3f_to_mat4f_offset                       = trans_mat
  gd_create_origin_lookat                            = gen_alignm4fromv3
  gd_clamp_f32                                       = limitf
  gd_clamp_vec3f                                     = limitvec
  gd_rot_2d_vec                                      = rotate2d
  gd_rot_mat_about_row                               = relrot_matrix4
  gd_absrot_mat4                                     = absrot_matrix4
  gd_vec3f_magnitude                                 = CalcLength
  gd_normalize_vec3f                                 = normalise
  gd_cross_vec3f                                     = crossprodv
  gd_dot_vec3f                                       = dotprodv
  gd_invert_elements_mat4f                           = InvertMatrix3d
  gd_inverse_mat4f                                   = InverseMatrix
  gd_adjunct_mat4f                                   = adjoint
  gd_mat4f_det                                       = det4x4
  gd_3x3_det                                         = det3x3
  gd_2x2_det                                         = det2x2
  gd_create_neg_vec_zero_first_mat_row               = set_obs_position
  gd_broken_quat_to_vec3f                            = translate_quaternion
  gd_quat_rotation                                   = rotate_quaternion
  gd_shift_mat_up                                    = conv_matrix
  gd_create_quat_rot_mat                             = evaluate_matrix
  gd_create_rot_matrix                               = make_scrotmat
  gd_create_rot_mat_angular                          = make_rotmat
  gd_set_identity_mat4                               = ident_matrix4
  gd_copy_mat4f                                      = copy_matrix4
  gd_rotate_and_translate_vec3f                      = mult_v3bym4
  gd_mat4f_mult_vec3f                                = mult_v3bym3
  gd_mult_mat4f                                      = mult_matrix4
  gd_print_vec                                       = print_vector3
  gd_print_bounding_box                              = print_box
  gd_print_mtx                                       = print_matrix4
  gd_print_quat                                      = print_quat
  gd_rot_mat_offset                                  = gen_ballmatrix
  func_80197280                                      = init_shapes
  calc_face_normal                                   = calc_facenormal
  gd_make_vertex                                     = make_vertex
  make_face_with_colour                              = make_face
  make_face_with_material                            = make_facem
  add_4_vertices_to_face                             = init_face4
  add_3_vtx_to_face                                  = init_face3
  make_shape                                         = make_shape
  clear_buf_to_cr                                    = kill
  get_current_buf_char                               = ch
  get_and_advance_buf                                = gch
  load_next_line_into_buf                            = newline
  is_line_end                                        = eolc
  is_white_space                                     = ws
  scan_to_next_non_whitespace                        = blanks
  is_next_buf_word                                   = match
  getfloat                                           = getfloat
  getint                                             = getint
  Unknown80198068                                    = draw_test
  func_8019807C                                      = rotate_vertex
  func_801980E8                                      = rotate_pnt
  Unknown80198154                                    = setdef_shape_rot
  Unknown80198184                                    = rotate_shape
  scale_obj_position                                 = scale_vertex
  translate_obj_position                             = trans_vertex
  scale_verts_in_shape                               = scale_shape
  translate_verts_in_shape                           = trans_shape
  Unknown80198444                                    = get_max_vertex
  Unknown80198524                                    = adjust_vertex
  Unknown801985E8                                    = adjust_objshape
  get_3DG1_shape                                     = get_3DG1_shape
  get_OBJ_shape                                      = get_Obj_shape
  group_faces_in_mtl_grp                             = Make_OrderedFacesGroup
  find_or_add_new_mtl                                = alloc_material
  read_ARK_shape                                     = get_Ark_shape
  get_shape_from_file                                = load_obj
  make_grid_shape                                    = make_grid
  Unknown80199E44                                    = dmake_bone
  Unknown80199E88                                    = make_planefromface
  make_netfromshape                                  = make_netfromshape
  animate_mario_head_gameover                        = mario_gameover_anim
  animate_mario_head_normal                          = mario_poweron_anim
  load_mario_head                                    = make_mario
  load_shapes2                                       = load_shapes2
  Unknown8019AB98                                    = make_roomlights
  Unknown8019ADC4                                    = make_linkfightlights
  Unknown8019AEC4                                    = make_mariolights
  get_alloc_mem_amt                                  = gd_getmemused
  gd_get_ostime                                      = gd_getsystime
  get_time_scale                                     = gd_get1frametime
  dump_disp_list                                     = print_bufusage
  [s] next_gfx                                       = nextgfx
  [s] next_light                                     = nextlight
  [s] next_mtx                                       = nextmtx
  [s] next_vtx                                       = nextvtx
  [s] next_vp                                        = nextvp
  gd_sin_d                                           = sin
  gd_cos_d                                           = cos
  gd_sqrt_d                                          = sqrt
  stub_renderer_1                                    = [s] atan
  gd_printf                                          = printf
  gd_exit                                            = gd_exit
  gd_free                                            = gd_free
  gd_allocblock                                      = gd_allocblock
  gd_malloc                                          = gd_domalloc
  gd_malloc_perm                                     = gd_malloc
  gd_malloc_temp                                     = gd_malloctemp
  Unknown8019BC88                                    = calloc
  Unknown8019BCD4                                    = malloc
  draw_indexed_dl                                    = gd_drawdisplistframe
  branch_cur_dl_to_num                               = gd_drawdisplist
  get_dl_gfx                                         = gd_getdisplistptr
  setup_stars                                        = load_u64shapes
  setup_timers                                       = clr_timers
  Unknown8019C270                                    = gdm_setfilesbase
  Unknown8019C288                                    = gdm_setcontroller
  gd_add_to_heap                                     = gdm_addtempheap
  gdm_init                                           = gdm_init
  gdm_setup                                          = gdm_setup
  stub_renderer_2                                    = gdm_makeobj
  print_gdm_stats                                    = gdm_printmemused
  make_view_withgrp                                  = gdm_makescene
  gdm_maketestdl                                     = gdm_maketestdl
  set_time_scale                                     = gdm_setoneframetime
  Unknown8019C840                                    = gdm_printtimers
  gd_vblank                                          = gdm_updatebuffers
  gd_copy_p1_contpad                                 = gdm_readcontroller
  gd_sfx_to_play                                     = gdm_getsoundflags
  gdm_gettestdl                                      = gdm_gettestdl
  gdm_getpos                                         = gdm_getpos
  [s] clamp_coords_to_active_view                    = gd_clipxy
  fatal_no_dl_mem                                    = no_dlmem
  alloc_displaylist                                  = alloc_displaylist
  cpy_remaining_gddl                                 = set_subdlptrs
  create_child_gdl                                   = make_subdisplaylist
  new_gd_dl                                          = make_displaylist
  gd_rsp_init                                        = init_rsp
  gd_rdp_init                                        = init_rdp
  gd_draw_rect                                       = gd_fillrectangle
  gd_draw_border_rect                                = gd_drawbox
  gd_dl_set_fill                                     = gd_setfillcolour
  gd_dl_set_z_buffer_area                            = set_zbufferptr
  gd_set_color_fb                                    = set_colbufferptr
  reset_cur_dl_indices                               = gd_initDLs
  begin_gddl                                         = gd_usedisplist
  stash_current_gddl                                 = gd_pushdisplist
  pop_gddl_stash                                     = gd_popdisplist
  gd_startdisplist                                   = gd_startdisplist
  gd_enddlsplist                                     = gd_enddisplist_nop
  gd_enddlsplist_parent                              = gd_enddisplist
  Unknown8019EBCC                                    = gd_changedisplist
  new_gddl_from                                      = gd_adddisplist
  Unknown8019EC88                                    = gd_adddisplistC
  mat4_to_mtx                                        = mguMtxF2L
  gd_dl_mul_matrix                                   = gd_multmatrix4
  gd_dl_load_matrix                                  = gd_loadmatrix4
  gd_dl_load_identity_matrix                         = gd_loadidentmtx
  gd_dl_push_matrix                                  = gd_pushmatrix
  gd_dl_pop_matrix                                   = gd_popmatrix
  gd_dl_mul_trans_matrix                             = gd_translate
  gd_dl_load_trans_matrix                            = gd_loadtranslate
  gd_dl_scale                                        = gd_scale
  func_8019F2C4                                      = gd_rotate
  gd_dl_lookat                                       = gd_lookat
  check_tri_display                                  = gd_startpoly
  gd_dl_make_vertex                                  = gd_polypoint
  func_8019FEF0                                      = gd_endpoly
  gd_dl_make_triangle                                = gd_tri
  func_801A0038                                      = gd_bufferfaces
  gd_dl_flush_vertices                               = gd_flushfacesbuffer
  [s] func_801A01EC                                  = gd_waitretrace
  [s] func_801A025C                                  = gd_swapbuffers
  set_render_alpha                                   = gd_setalpha
  set_light_id                                       = gd_uselight
  set_light_num                                      = gd_numlights
  create_mtl_gddl                                    = gd_allocshader
  branch_to_gddl                                     = gd_useshader
  gd_dl_hilite                                       = gd_DefineShaderHilite1
  gd_dl_material_lighting                            = gd_defineshader
  set_Vtx_norm_buf_1                                 = gd_setFnormal
  set_Vtx_norm_buf_2                                 = gd_setVnormal
  ? (0x2a1d0)                                        = gd_test
  set_gd_mtx_parameters                              = gd_mmode
  [s] gd_dl_viewport                                 = set_viewport
  [s] update_render_mode                             = gd_setrendermode
  Unknown801A1B30                                    = gd_clear_colbuffer
  Unknown801A1E70                                    = gd_clear_zbuffer
  gd_set_one_cycle                                   = gd_clearscreen
  stub_renderer_3                                    = gd_genenvmap
  gddl_is_loading_stub_dl                            = gd_setenvmapping
  gddl_is_loading_shine_dl                           = gd_setspechilite
  start_view_dl                                      = gd_startdraw
  parse_p1_controller                                = gd_getcontrollers
  stub_renderer_4                                    = check_printpos
  Unknown801A32F4                                    = use_printfont
  func_801A3324                                      = reset_printpos
  func_801A3370                                      = addto_printpos
  Unknown801A33F8                                    = set_printpos
  Unknown801A347C                                    = set_printscale
  border_active_view                                 = gd_enddraw
  gd_shading                                         = gd_shading
  gd_getproperty                                     = gd_getproperty
  gd_setproperty                                     = gd_setproperty
  stub_renderer_5                                    = gd_lighting
  gd_create_ortho_matrix                             = gd_ortho
  gd_create_perspective_matrix                       = gd_perspective
  setup_view_buffers                                 = open_window
  gd_init_controllers                                = init_control
  stub_renderer_6                                    = gd_setredraw
  defpup                                             = gd_defpup
  menu_cb_control_type                               = gd_usecontroller
  menu_cb_recalibrate_controller                     = gd_recalcontroller
  func_801A4438                                      = gd_setcpos
  gd_gentexture                                      = gd_gentexturedl
  load_texture_from_file                             = gd_loadtexture
  Unknown801A47B8                                    = findmain_view
  stub_renderer_7                                    = setup_rcptask
  stub_renderer_8                                    = [s] rcpMgr
  func_801A4808                                      = wait_dp
  func_801A4848                                      = add_rcptask
  stub_renderer_9                                    = start_rcp
  stub_renderer_10                                   = gd_usefont
  stub_draw_label_text                               = gd_printstr
  set_active_view                                    = gd_setview
  stub_renderer_11                                   = update_shapes
  func_801A4918                                      = update_menus
  Unknown801A4B04                                    = update_timers
  update_cursor                                      = update_mouse
  Unknown801A4F58                                    = fade_colbuffer
  Proc801A5110                                       = gd_updbuffers
  update_view_and_dl                                 = gd_drawview
  func_801A520C                                      = event_loop
  Unknown801A5344                                    = clear_buffers
  gd_init                                            = gd_init
  reverse_string                                     = convorder
  stub_renderer_12                                   = convorder_int
  stub_renderer_13                                   = convorder_long
  stub_renderer_14                                   = convorder_float
  init_pick_buf                                      = gd_pick
  store_in_pickbuf                                   = gd_addpick
  get_cur_pickbuf_offset                             = gd_endpick
  stub_renderer_15                                   = gd_loadname
  stub_renderer_16                                   = gd_pushname
  stub_renderer_17                                   = gd_popname
  Unknown801A5AB8                                    = gd_gettextureptr
  Unknown801A5AE0                                    = gd_usetexture
  set_vtx_tc_buf                                     = gd_polyst
  add_debug_view                                     = add_overlayview
  cvrt_val_to_kb                                     = convert_bytes2k
  Unknown801A5C80                                    = add_debugview
  Unknown801A5D90                                    = add_memview
  Unknown801A5FF8                                    = add_menuview
  gd_put_sprite                                      = gd_drawsprite
  gd_setup_cursor                                    = add_mouseview
  view_proc_print_timers                             = timerview_active
  make_timer_gadgets                                 = add_timersview
  stub_renderer_18                                   = [s] idle
  stub_renderer_19                                   = [s] mainproc
  [s] gd_block_dma                                   = start_dma
  load_dynlist                                       = load_dynlist
  stub_renderer_20                                   = gd_find_tris
  func_801A71CC                                      = zone_net
  stub_renderer_21                                   = make_ground
